Secret,Jatim,Sumber,Balekambang,Museum,The,Aston,Golden
"i had been visit many zoo in asia...but this is the biggest and complete zoo i have ever seen...my son really loved to come here, once in a year since 2017 - 2019 i always visit BSZ...ticket price quiet cheap especially if u compare to spore zoo. i suggest to rent ebike to make?","Visit at Tuesday on high season holiday. I went with my wife, my daughter and my 2 yo son. Yes we really enjoyed this park. There a lot of games we can play along. And full of education about Indonesian ethnics. Food court and restaurant available. Take care of your child, a few?",,"Balekambang is long beach. There is few part of the beach. Near gate, temple beach, mangrove forest, and camping ground. ","Well, for the first time I thought if would be lime just another museum with an ordinary stuff. I finally wrong! This place so interesting and unique. Especially for the vintage sport cars lover. The collection so huge and so many from different era...and the cool thing about?","The location is good.. only 5 minutes walking to Museum Angkut ... 10 minutes walking to Jatim Park 1 ...  The lobby not really fancy like 3 stars hotel but very efficient ... the deluxe room is quite big, you can add 1 extra bed inside ... they do not have AC but they have cooler for rent ... the meals are great , very tasty with reasonable price.. definitely an option place to stay in Batu ...","It has perfect location in Batu, easy access by online vehicle and near with Angkot Museum, few minutes by car with the Alunalun, the hotel provides rented bikes and it was around 30 minutes by car to Onsen Songoriti. The room facilities are good, the bathroom is clean. Nice and helpfull staffs. Nice and tasty variant breakfast. We stayed at twin standard room and found both beds were so comfortable, the view from the balcony was outstanding at night. ","We absolutely loved our stay at The Golden Tulip Hotel.  But we really loved the Branche Restaurant.  The food was fantastic and Dewi, our server, treated us like family. We couldn't  have asked for a more enjoyable experience.  At the front desk Kiki made certain that our stay was flawless.  We can't thank the Staff and Management enough.  Highly Recommended!"
"Visiting this zoo is the highlight of our trip to Batu. It has a lot of animal collection so the kids are loving it. I have to mention that the place is very clean (compare other tourist place in Indonesia), the groundkeeper working around the clock tp make sure the facilities?",We went there exciting to go on the rides but was left disappointed. We were not confident with the integrity of the rides. ,,"please be carefull with the wave if you bring your child , and the place was very crowded . but it have a good view .","This a good museum to visit with family, we can see many transport device that ever been used in Indonesia and around the world. We can see antique cars, traditional transport and antique sports cars. There are a lot of theme in this museum such as china town, england, paris and?","We stayed 3 nights at deluxe room, on the 2nd floor. The room was clean and spacious, and surprisingly warm.  On our floor, there was dorm room, with 2 public bathrooms, one for males, and the other for females. On the lobby, there were fun facilities, like a pool table, carambol table, and darts. My son loved it! There was also a fish pond and garden (but without rabbits, like what I read on reviews).   The hotel location was within walking distance to Museum Angkut, Jatim Park 1, and Pasar Parkiran. However, you will need transportation to Jatim Park 2, BNS, Eco Green Park, and Alun-alun.   Breakfast was not included in their price. However, they have a restaurant, with affordable price, so it is easy to get one. The restaurant open from about 7.30 - 23.00. I don't like the?","Overall, the service of the hotel was good, but they need to increase the internet connectivity. I was came to the hotel for business trip, so internet is part of the crucial thing for me. I hope the hotel management could improve this","Arriving hotel late afternoon, Azhari took me to room 5225 with two balconies which makes Panderman Hill and its surrounding look so beautiful.  A very helpful and informative driver, named Diaz, took me to the closest restaurant near the hotel. Very recommended hotel for family holiday and business accommodation.  Eko Desri, Lampung"
"The venue is awesome. They have many varieties of animals from all over the world. place is well arrange to make people experience and see all of the animals. Place is quite clean, information is clear on each animal.  Accommodation in the zoo is quite complete. You can even?","a theme park with attractions, education purpose and swimming pool. they have 5 roller coasters, and others attractions like horor house, go kart, merry go round, etc. before that, you pass the education area with all indonesian culture like traditional house, and others, after?",,"the location can be reach in two hours from downtown, which make this beach is one of the must visit beach for me. it have a beautiful pura and a bridge.",The collection is amazing. The range of vehicle collection is very complete. You will be amazed by the view and scenery. We have unforgotable moment.,"We stayed 2 nights, 6/29-7/1, at this hotel and chose Deluxe room with the balcony.  The best thing to stay at this hotel is close by to museum angkut, Jatim park 1 and 2, alun-alun, and BNS.  The condition of a hotel is like 1 star hotel.  The bed is small, so it's not comfortable to sleep on.  The room's light is not bright enough at night.  More lamps for reading need to be put next to the bed.  Bathroom's towel mat is not white and looks dirty.  Glasses are put upside down uncovered on the table. New towels aren't provided on the second day.  I think the hotel should be more attentive to the cleaness of the room. The shower's water is small, so it takes time to take a bath.    Breakfast which was ordered on the third day was very slow as we had to wait for 1, 5 hour.  ","Nice view,locatioan was awesome,resto was good,very closed from atractive place,friendly staff,recomended for family holiday ,happy to stay  hotel during my business trip,will stay again if visit malang","Its location is close to Jatim Park 2 and Batu Secret Zoo, also BNS. At first, the location is not expected, but when i stepped in, this place is so big with their excellent corners. They have a safety kid playground, they have a very big swimming pool also maintained garden around the rooms. Entrance door near the restaurant, has a glass-floor which we can see through the other restaurant below."
a zoo in Batu...many animal on it's collection. from north to south hemisphere. an educational zoo...good for all age. at least need 4 hours walking in feet to explore this zoo. electric scooter where avaliable for rent. many food tenant inside. so you'll never hungry and?,"this is one of the best amusement at east java. when i go here, i just want to visit this place, educated, amusing and stress relief",,"this beach was awesome! altough the road was not too wide (maybe about 4-5 m wide), you should be careful when driving. but it was worth it. you can see sunset beautifully.","It was a very interesting place to spend at least half a day. It reminded me of Universal Studio. Plenty to  learn and there are words of encouragement to children to study hard. You can find Chinese street, Eiffel Tower, Las Vegas, Buckingham Palace here. Many good spots for?","I stayed here on june 27, 2016 with my family for holiday. I stayed at romantic cottage room and twin bed cottage. The interior of the rooms is ok. But the bed sheet and pillow sheets are smelly. Like was used by someone before us. The towels looks dirty too. And we cannot sleep over night cause the noise traffic sounds that come from the street outside our rooms ( our rooms location not far from the road). So i think it's not like the reviews that written on the hotel description that says this hotel is suit for someone look for privacy dan peacefull place <U+0001F62F>","this is great hotel ive ever had, thank you for your kindness, great breakfast with atmosphere from the mountain, this is worth it to been here,  staff is good room is clean and the view is great i wonder to sleep again in this hotel","We stayed for 3 nights 4 rooms in early Jan 2020. OMG, all the rooms and bathrooms were extremely dirty. When we checked in, the shower and sinks were wet. Shower floor were dirty, you need to wear sandals! Shower blind and toilet seat were full of stain, just disgusting. We found vitamin tablet at the bottom of the teacup, clearly the cup was not washed. There were previous guests? box of disposable underwear in the cupboard, in a clear sight. As a 5* hotel, there were no hand towel and face towels in my room, in other rooms only 1 piece of each bath/hand/face towels, while they have a disclaimer for charging missing room inventory including towels. Be careful with this!  Restaurant was the same. I found lipstick stain on 1 of the teacup in the Tea/Coffee Corner. Hardly found a?"
Thing amazed me was how they arranged to zoo based on geographical zone and type of animal. The visitors are directed to explore the same path to picture all features of animal kingdom. Some cages are arranged so amazing that visitor can see animal from different angle and?,This place is great. U can learn something new and play after it. This place beautiful and clean. I apprecate of cleanliness and creativity about that place.  Enjoy it. ,,"A beautifull view, a comfortable sandpit, a  tame wave. Its all opinion about this beach. This beach offering many kind of happiness, beautifully, and comfortably. You can also playing many kind of game that you did not find in everywhere beach. I hope this beach always came a?","Well managed, well constructed, well maintained! Really make us proud as Indonesian, to have this kind of museum in Indonesia","Stayed here for one night on 2nd May with my husband. It is a small hotel. We chose deluxe room and got room No. 102. It is near the lobby area. Clean and quite old. Fast check in. No aircond but The weather was cool. Very difficult to get drop off / pick up Service tO surrounding area despite they have such Service. Only taxi available. And the Front Officer has to call the taxi first. Alun alun batu is only 10 min walk. Museum angkut is 5 min walk. If you are roman catholic, you can find the virgin mary statue inside the garden.  ","Dari drop off,  pintu mobil anda akan dibukakan oleh team depan atau security yang ramah, baggage anda akan di take care sampai kamar anda.   Front Desk is very friendly and welcome  Lobby is very clean, comfy, and all the staff around are very exited and happy.   Girl in Boutique is very informative and helpful  Room is very clean Bed room and its sheets and pillow, the quality is more than 5 stars hotel.  The hotel name itself is Aston Inn But the service is above its own class  I would totally recommend this hotel 100% either you are back packing, family trip, or for business  You gonna love it  Laode Abdul Nasir","29 Aug 2019. This hotel is pleasant, clean and tidy. Not so far from several tourist spots in Batu. Food is delicious. Mountain view with fresh air around the hotel are the things you will enjoy here."
"The area of the zoo is very big, so if you feel that you can't walk much, it is better to rent the battery car vehicle which can be used around the park. There are lots of varieties of animal inside this zoo and there is a dedicated theme park for kids as well. It has safari?","The best part of this fun park is the fun with science part. My son loves it, but some of the display/machineries didn't work. ",,"About 2 hours driving to reach from Malang, good roads, passing through nice scenery of woods. Quite long beach so you can play along this beach. High wave, you should be careful watching your kiddos. It's another alternative view of Tanah Lot,  Bali.","Great place! My family enjoyed our time over here. Walking down memory lane. We love how the cars are still in pristine condition, the museum itself was well kept.   Kudos! Keep it up","I booked this place due to the reviews I read from many sources, the reviews was good and excellent. But when I got here, some area are not neat. Room smells not good, toilet is dirty. To rent a motorcycle you have to pay IDR 70,000 for 24 hour and return it with the same amount of gas like when you rent it. Please be notice that the gas stations here are quite far. ","First, go to this hotel with the Indonesian Local Guides community, immediately impressed with the landscaping presented from the 8th floor of the Aston Inn Batu hotel. While enjoying the menu served by the hotel chef, we are spoiled by the beautiful landscape of Batu city, against the backdrop of Mount Arjuno that stands majestically. Must come back. #letsguide #batulocalguides","Spacious room, nice children playground,big swimming pool, and hotel provide free shuttle for transfer to jatim park 1,2,3, museum angkut.hotel has beautiful garden and beautiful mountain view and its instragamable"
"Been here twice, first i travelled by myself and second with my families. Not many changed in there but i still excited to around specially with my family who never visit here. But the problem is we visit during rain season so we can?t really enjoyed all the place. But overall?","It's a good place to have fun education in here for everyone either for kids and parents, the weather is quite cold so we won't feel hot. Make sure your leg and feet is strong to enjoy the whole theme park<U+0001F604>",,"I've been there, but it's been a ver long time ago and the road was still broken, hilly, and little bit offroad. It takes 2-3 hours from Malang city to this beach. The journey passed through ricefields, villages, sugar fields, corn fields, forest and hills. It's quite difficult?",Very interesting and fun place to visit. You can see many vintage transportation from 1st century from all over the world.,"I booked 4-bed dorm room. Was provided locker with key. Room, bed & toilet were clean & well-maintained. The only downside is that the room didn't have air-con nor fan, so it is warm at night (outside cool air can't get in thru windows). Can hear slight muted traffic at night.","comfortable room, good view, delicious food feels like 4 star hotel for me strategic location, good ambience, free flow mineral water complete amenities everything is just feels like home my children happy","I just checked in, the receptinist, lobby, pool are awesome, but the bathroom are FILTHY. Eiuwww. We are now staying for 3 nights (5/1 to 8/1) under the name RF, at 2207, 2209, 2203, and 2215. STAY AWAY FROM THESE ROOMSSS!! OR EVEN THIS HOTEL !!! When i checked in the showers are wet and dirty. THE TOILET IS DIRTY !!!! They said the people before us just checked out. I asked the housekeeper to clean up again, but the result are the same. I ended up spending the first two hour to clean up and disinfect my own bathroom. Luckily i always bring dettol and toilet seat cleaners. THIS HOTEL IS VERY UNMAINTAINED AND NO QUALITY CHECK!!!!!!! PLEASE !!!!!!!! I have the video if someone needs."
"The zoo is very complete and have some unique animal, clean and large area. If you had tired, you can rent the custom battery vehicle inside. And at the end, there is playground outside theme park for young child.","this place offer so many things inside, education about Indonesian culture, houses, also alots of fun activities available inside including of waterpark,",,"Too bad that this beach was so dirty with lots of garbage everywhere. Need a lot of improvement, especially in cleanliness factor","Fun, many things to see ... Very friendly staff, they offer us to take a family picture! Great hospitality. We enjoy the superheroes parade, there's also live music when we visit at the Eiffel area...we really enjoy it.","Very very close to jatim park 1, jatim park 2, museum angkut, bns.. the food is oke, n price is cheap.. here you can rental car, order taxi or you can walk only 200 meter to museum angkut. Room is big but the condition like 1 star hotel","Its nice to stay in this hotel . Staff was friendly. You can ask them any information regarding the area or where to go . Just a little glitches regarding cleanliness , knowledge of the staff and the quality of what they served to guest.","Nice hotel with quite complete facilities for family with toddlers. Just one suggestion for the pool area, considering Batu have a chill and windy weather, it is nice if all the pools are using warm water including the kids pool."
"Good atmosphere, many kinds of animals, entertainment spot etc. Also aquarium, birds, hippothalamus, and so on. Very recommended!","In the beginning when I speak about learning and studying, the kids was pessimistic. When they see the place, they were so happy. They learn about architecture, history, chemical, biology and physics with a fun way. The only bad thing is they don't anticipate the rain. When the?",,You will feel like in Bali here. This place have temple in small island  that connected with bridge from beach. See sunrise in here is very romantic too. You can very easy to find small restaurant and cheap hostel. ,A good  place to visit as there are alot of vintage mode of transportation for you to see. Educational for kids and alot of great photo to be taken. Also foods are easily available. Reminder for foreign visitors...do bring along your boarding pass as you entitled for additional?,"overall review: - Location near Museum Angkut & Jatim Park. - Water heater not really working, sometimes it was very hot, and sometime suddenly cold. - Separated with the main building (a bit difficult if you need help from them) around 5 minutes by motorcycle. - It took long time to check out. - The villa was clean, tidy, have kitchen so you can cook. - No wifi in the villa, only in receptionist.","Clean hotel, good breakfast with plenty of options and mountain view. Good service and friendly staff.  Location was great, nearby many tourist spots. It is a newly built hotel so many things are new and clean. ","Stayed at premium twin bedroom located on fifth floor on Christmas night. The room was perfectly clean and comfortable with complete amenities such as hairdryer and toiletries. The room have a balcony with two chair, unfortunately my room view was only the other unfinished building. Tried the pool and it was nice! They have warm pool. And They have float rental for swan white float and duck float for IDR 15k for 15 mins only. The only minus of this hotel was the food. I tried the food for breakfast and it was disappointing. Only few food choices and the taste was not so good. Only the view helped me to enjoy the food and ignore my dissatisfied feelings about the food. Definitely will back again."
"as one of the tourist destinations, JTP 2 offers an interesting vehicle, especially education about flora and fauna. But the most interesting is Batu Secret Zoo and Wildlife Museum. Stone secret zoo offers an educational experience especially for children. The animal collection?",The park is a complete tour park especially for children. They apply educational theme for the park so you would expect to see educational displays and historical display. Then you can end your day with swimming in their water park.,,"the view of the beach itself is great, it has a unique attraction where it has a temple right at the center of the ocean, and it also has a white sand and you can clearly see a thing under the sea. but during a peak season the beach suddenly turns into a really worst place, its?","In this second visit I still enjoy the so many car displays. Some cars now seem cleaner and indicating a slightly improvement in the asset maintenance. Unfortunately, I experienced the same disapointment when visiting the German part of the property. No BMW car at all. And none?","I stayed here with a friend on 1-2 January 2016. We booked two beds at the backpacker dorm a month before our arrival. It is the cheapest room available in this hotel. It costs around IDR 99000 during the high season (we stayed there during the New Year's holiday)  I learned from their website that there are only four beds at the backpacker dorm. Since the dorm is a mixed one, we were kinda worried at the possibility of sharing room with male guests. We chose this room because we travelled on budget and because we planned to visit many attractions in Batu, we wouldn't spend much time in our room. But, it turned out that no one else booked the other two beds, so the room was practically ours.  At first, we thought someone else had already arrived before us, since the room smelled?","Overall we're all happy with your hospitality services. View from the restaurant area is awesome (City and mountain view). I love to spend time there with friends. The air also, especially since i could turn off the AC and feel the fresh air while I'm sleeping.  There is some improvement you might need, I come from Malang. We use a lot of kitchens herbs. So I was expecting more spice up on the food. ","I went to Golden tulip on a business trip.. The reception staff was really nice,friendly and helping.. And never forget to smile.. The room was so big,clean and nice.. The variety of breakfast also good and have lots of choice.. Overall I love stayed here and will come back again with my family.."
The collections very complete and the place was great. The need to be improve is the restaurants. Better not come film rainy days. Since the location very big better you start from morning.,Eventhough this place is crowded every weekend. But worth to visit too :) . And my favourite part was TAMAN SEJARAH and all the games there hihihi,,"My quick suggestion: GO to THE LEFT beach!  We went here several times, 3-4 hours drive from Malang was only sounds long in the beginning. After second visit onwards we don't mind it at all. We can spend more that five hours there, from low tide until high tide. Better go home?","Good for family visit .. vintage vehicles; cars, bikes, rickshaw, planes, etc were all shown here .. a guide there said that some of them was still working !!! A replica of plane was on top of this building as a photo taking place .. the halls and expo road showing various theme?","The best thing about Batu Villa is its location. It is next to Museum Angkut (Transport Museum), a favourite for all tourists in Batu. Jatim Park 1 entrance is also within walking distance. Jatim Park 2 is a short drive away.  Other than location, the hotel left a lot to be desired. We stayed for 3 nights there during Chinese New Year weekend, when occupancy rate was high.  Lobby looked good and clean, with koi pond, pool table and sufficient benches. Right next to it was the restaurant, with extensive menu listed on a blackboard hung on the wall. Staff were polite and courteous in general.   Check-in was not so smooth, as our booking was made under different names with different means for 3 different rooms. Payment had to be done during check-in, and as there was a confusion on?",Its an excellent getaway. Family friendly accommodation and pools is available till 8pm. Restaurant menu are petite with great selection... View is fantastic from the top. Variety choices for breakfast..... Thumbs up Aston Inn Batu ...,Perfect hotel for family trip.  Number 1 choice for Batu Malang. I will not looking for any other hotel to stay if we go to Batu Malang again. Room is very clean and spacious.  Beautiful scenery and delicious food. They were really understand about customer value. 
"Love it. So much different from the other zoo. Salute for the architect for the design of every animal cage here. Besides that the animal collection also very unique, never found in other zoo. Not only animal, they also provide theme park, live animal show, museum (believe me?", Is great place for a family and price is no so expensive only 100 IDR perperson . I am really happy with my family to join this place. Also the educated for children and many attraction .,,"it's a beautiful beach with piled up garbage around it and the uncomfort infrastructure... feels like somewhere in bali though with white sand,the temple and the tide....","This museum is one of the famous in Batu, malang...a must go when you visit this city...they have a great collections of old car and the replica of presidential airplane is great","For the cheap price of the hotel, you totally got more than you paid for. The rooms were clean and even though there was no air conditioning, the room was fairly cool. I stayed in the Junior Twin Room and then moved to the Deluxe. I recommend staying in the Deluxe because of the private bathroom unlike the Junior Room. The staff were friendly, the food was very cheap, and the location of the hotel is very close to many tourist attractions (walking distance). I definitely recommend staying here.","I stayed here last week, but it was a very short one. We checked around 7 pm and had to check out the next morning as our flight was in the afternoon. I love the hotel as it was very clean and the restaurant was at level 8. The food was good and the view was awesome! I would gladly stay in this hotel again if I had the chance next time. The staff were polite and assisted us promptly. Thank you for the great hospitality!","I stayed at the premier room with the peak season rate. I dont think it is worth the money. Reception service was fast. However other services are very bad. On 5 times my attempt to call room service and operator and housekeeping, only got replied once. So painful to request something. Room is standard. The plumbing in the toilet is not working well. Room service foods are good but not the buffet foods.   However the hotel ambience is nice. Open air lobby and several play family play area. For a considered new hotel, they really really need a lot of improvement"
"Only zoo as like Ragunan Zoo in south of Jakarta. I suggest don't go there. Please visit another places, so many tourist destination area at Batu beside Jatim Park 2.  I do appologize if my review different with your mind.",The Bagong Museum offers a wide knowledge for children about our body.  The Jatim Park 1 need to maintenance or renew their amusement park attractions and rides.  My children had fun in swimming pools. But lots of people smoking around next to the pools. I felt not comfortable?,,"I loved this beach. Napping on the sand with hardly any people around me... Pretty coastline views, and a little Hindu temple to check out too.","It's a good place for people who love classic cars. Their collection of cars is just amazing. We wouldn't be able to see those kind of cars in our everyday life. So visiting Museum Angkut would be the best option. Other than the transportation part, themes of each section is?","They have a dorm for 4 people (mixed), with less than $10 per night. The room relatively clean, the location, very close to ""museum angkut"", "" jatim park "".  The best part ,You can get a beautiful city lights view at night.",The view from the restaurant are fantastic. The room is nice and clean. The TV inside the room are large and provide HD contents. The staff are always greet me with warm smile. My overall experience while staying in this hotel are awesome.,"I was stay in this hotel on November in room 8203. I was kinda surprise when the staffs is very welcome and Special thanks to Mr. Aliwayana for the warm welcome and he escorts me to the room, and what a surprise! the honeymoon set up is well arranged and super beautiful. Thank you for the hospitality, definitely will come back!"
"This is our second times here since 2014 and though there are not many changes, this modern zoo is still awesome! Especially for children who love animals, this place will excite them.  After all the walks, you will be greeted with playing grounds complete with small water park,?","A good place for kids to play and learn. With various entertainment, educational and swimming pools for kids and adult.  Ticket price is cheap compare to the facilities inside. Food and drinks are cheap inside the area.  Must make sure arrive at 8 in the morning coz they closed?",,"The beach seems to have two ""sides"". One side is less populated with stalls and stands and tends to be cleaner overall. The sand is soft and the waters are cool. I did not find any substantial amount of garbage. You can also observe different types of intertidal fauna, such as?","Museum angkut is one of the best museum in Indonesia that I have ever visited. The area is huge and they have different section that brings you to some other part of the world, e.g. Europe, United States, etc. They really maintain their quality and many of the cars are still in?","The room is adequate and close to museum of transport. But the staff are indifferent.  Restaurant food takes 1 hour min to be servesd. And most of the time for dinner I had nothing to eat because they said that item is finished. Unflexible too. Couldnt give me an apple because not on menu, but happy to juice the apple because apple juice is on menu.  Hope you like plain rice, because after you go though the menu of what's not available, rice is all that's left.  ","Friendly staff, nice view and clean room. The restaurant concept is cool, especially when you come at night. You'll see spectacullar view over there. What I loved more is, your pillow is soooo fluffy!! ","Room was very and comfy, stayed in room 3102. The staffs were really friendly, special thanks to Ms. Suci, she was very nice and helpful. Love every single thing in this place. Definitely will come back again in the future! See you!"
"Batu Secret Zoo Malang got many kinds of rare animals, as well as aquariums and museums. The environment is clean and comfortable. In addition, there is a small and medium-sized playground suitable for both adults and children. Be sure to visit this zoo if you travel to?","The only good thing about this park will be the Body Museum, for children this will be good learning experience, too bad the presentation was in Bahasa Indonesia, and not much information in English. There is also science centre, which we enjoyed visiting.  Exhibition of the?",,"It's the longest beach on Malang. Every day of ""Suro"" , people at this village have a special ritual for the sea","One of the best museums in Indonesia; their collections about transportation (car, bike, etc) is great/cool.","I rented Cottage room and it was big for 2 people, and affordable, no air cond thou.  Too bad the room was a bit too open for ventilation, so you could easily hear the noise from the surroundings (Motorbike passing by, music in the midnight, etc.)  Bed was comfortable, room a little too dark at night, and I could hear my friend's alarm next door.  Mosquitos were so annoying, I ended up bought a repellent.  Insects were observed too inside the room, but I could still face that.  I choose this hotel because it was close to Museum Angkut, and other public places.  Other than that, I surely will consider another place to stay.","The <U+0001F31F><U+0001F31F><U+0001F31F><U+0001F31F> star hotel in Kota Wisata Batu is one of the right choices to stay. Very close to several popular tourist attractions such as Jatim Park 1, Museum Angkut, Pasar Tamaniran, Taman Hutan Kota, etc ...  Also available at around the mainland. Complete! Applause for Aston Inna Batu! .  ? Has a total of 103 rooms, suites, and a penthouse with a neat design, an atmosphere that makes the eye and heart comfortable.  And the great thing, all guests are given access to a private balcony by offering incredible views of the natural surroundings of Batu.  There's more, I fell in love with the Belis restaurant at the rooftop so very comfortable, with excellent service and a neatly arranged & artistic food menu, make it petite!  If you want to hang out while instagramable photos, it?","Nice stay, nice breakfast, nice room,nice pool, nice ambiance (our room can see the mountain direcly) many warm & welcome staff,  thanks noel for helping us yesterday, good job, well done guys.. God Bless you"
"Holiday with my family to Batu secret Zoo and museum satwa, really nice place to show your kids many kinds of animal, the place is complete with a lot of free rides games.. for sure you will enjoy it.. recomended to visit. For advise much better to visit on weekday.","This place has an incredible complete collection of animals. They did not lock the animals in the cage, but let them wandering in the wild, only distinguished their community in order to not get eat each other. Car allowed to get around, so we are not tired to walk around, and?",,"the beach was so faaarr away from the city, so it's better to go there before dark.  the water was extremely clean, not many people that know about this place.  there was a few food market place too. the bridge and temple was a good object for photography.","for you who loves classic cars and others, this is the right place to visit, they have a real classic cars.","I was there in march 2015. I'm staying with my husband and our 3yo. The staff were great, they were so helpful. They provide rented car and motorcycle, the price as low as 10rb rupiah per hour... The perfect location as it really close to Jatim Park I and II.. beautiful scenery especialy at night... the meal was great also.. their satay were yumm... My husband arrange another trip there even when we haven't checked out.. Love it there..","Awesome hotel, cleane hotel, good panorama, good service, good smel, good room, good menu breakfast, someday l will back again, and please gift discount. Hotel to located wisata so close so we enjoy wanto anywhere.thankyou","Lovely place,had a afternoon swim at the pool with the kids. Everything was fine. Then I went to branche to ask about the dinner buffet. The staff told me there was no need to make a booking, just walk in. I went back with the family to branche at 6pm and the staff told me there's no dinner buffet, it has been moved to the main lobby due to another event and it's fully booked. I asked the staff how come when I asked earlier, there was no mention there was no dinner buffet at branche and not needing to make a booking. All the staff could do was smile and could not answer. Lovely place, poor staff training."
"Zoo always brings the joyfulness...three hours from Surabaya, capital city of East Java by driving car, heading to Malang, you have the biggest complex of zoo, annexed to the other amusement biggest theme park...in Batu secret zoo, plenty of wildlife animals show their lifely?","you need one more day to trip around Jatim Park 1, there so many attractions and so interesting to visit each attraction.",,"The Balekambang Beach (literally ""Floating Couch"") is a beautiful beach with white sand and, with an impressive Hindu Temple nearby, located 57 km South of Malang. Here you can find the replica of the Temple in Tanah Lot, Bali. The two beaches noted for the annual Sea Festival?",Superb place to spend your holiday here. We spent 4.5 hours in the museum exploring the exhibition floor inch by inch.  It is good to learn the history of transportation especially in Indonesia. As a WNA (foreigners) we were glad that this place gave a 20% discount for the entry?,"This hotel is located very close to Batu's major attractions and also to the downtown Batu itself. Most of them are not within walking distance, though, so it's still best if you have your own transportation (or ask the hotel for help renting one). Room is spacious. Other facilities are minimal (no swimming pool, etc) but it's enough if you're going to spend most of the day visiting the surrounding areas anyway. The hotel provides no breakfast, but they do have a restaurant with reasonable prices. ","If you're looking for a good place to spend you're time with family with a nice view and a good service, Aston Inn is a good choice. They have a great mountain view in the breakfast area, the location also near to the local attractions.","Location is very strategic near by Jatim Park 2. Nice view from room?s balcony facing the mountain. A bit chill at night in Batu but nice. Had a great stay in this hotel. Big area, friendly and helpful staffs, clean and comfortable room. Nice open bar area for snack and drinks. Various cocktails and wines. Coffee shop for breakfast also all good especially Jawanese food and Jamu. Some spots are very instagrammable too. Very recommended to stay while in Batu! "
"This is basicly a zoo! with a lot of animals. They also have a theme park in the Jawa timur park 1, and now they have Jawa timur park 3 also. You can go to this place by car (rental car or Grab/gojek). If you want to go to this place, i suggest you go in the weekday. Because?",This place is great. Only cost 75k for entry. Huge waterpark and heaps of rides roller coasters ect.. Great day out with the family ,,Went here by motorcycle from Malang that took 2 hours. The road was easy to follow cause there's many signboard pointing balekambang beach. Entrance fee was IDR 10000/person. The beach was beautiful with its white sand...actually not too white...kekekekeke...but its fun playing?,"I visited this museum on 27 Dec 2018 with my sons, nieces and my husband. It so attractive museum, and you will never get bored to go around and take good pictures. I enjoyed the festival attraction in the stage.  Just need improvement in the signage to toilet and restaurants.?","Room rate via booking.com is very reasonable.  With less than 40 USD (500.000 IDR - without breakfast), you can get a spacious superior room.  But there were no facilities in this hotel, except the accommodation itself.    Location is very near to Museum Angkut, so you can just walk.  But if you want to go to JATIM PARK, the most famous tourist attraction in Batu, then you have to take taxi.  Suggestion: do not eat at the restaurant. They were tasteless.","Love the hotel, facilities, and the entire crews.  Beautiful and comfortable swimming pool. My daughter love the kids pool with its warm water. I love the gym, limited but complete equipments were there.    Room for improvement - a playground for kids in future.","I was enjoy my stay, special room with cute decoration, the staff are very nice especially to Kiki and Adel, they are so kind and helpful. Best view from my room facing the mountain, fresh air, feeling so lovely, need to stay longer, I'll be back soon,"
"Decided to add Malang to our indonesian trap after some tips from my Jakarta relatives and they came through. Just an hour between Jakarta and Bali this place is a true paradise for kids from 3-12. There are multiple parks catering to different needs. A beautiful original zoo, a?","we can learn about Indonesian culture, many unique things we can learn also, furthermore play games in science center, get on thrilling rides.  Park that must be visited if you are in Batu.",,"Its more like. We go to bali to see the Tanah lot. I feel here is more nature and beautiful. You will still can see some of the villager who is hindu's is pray there or if some of their family is dead they pray there , they burn the body and bring the ashes to this beach and?","Huge selection of cars and bikes (vintage and being put on selective scene, based on the origin of the cars - europe or american style for example). Very little for aviation and especially vessel industry. Good for vintage car and bikes lovers or youngster who love to take?","+ Nice place, Cozy , Strategic Location and Clean . - Wait for food orders of more than 50 minutes because the chef was went outside ( no notification that the chef was not in place at the time of ordering foods ) should be notified in early to avoid disa","Nice and very clean hotel. Excellent Service, food is delicious, resto is very nice view face to Mountain. Staff is very friendly. Thanks for Pak Turmudi (Operational Manager), Bu Agustina (FB Manager) and Chef Topan (Executive Chef) for your hospitality. Regards to all of your team. Keep it up and consistent.","Ok, I straightly have 2 concerns: - I had 2 breakfasts, 2 lunches & 1 dinner. Unexpectedly food is tasteless but I had to have it unfortunately because of business event and there is no restaurants in the surrounding. - strange bathroom window unless you want other guess see you naked (see photo I took)  Apart from the above, it is basically good hotel, just opened in the recent years though clearly it is not 5 stars in my opinion.  Access: far from main road"
