Rotterdam,Losari,Taka,Bantimurung,Tanjung,MaxOne,Harper,The
"stop for registration and donation(?).. it Said FREE..but politely a DONATION..Nothing much to see concerning the fort..mostly showing agriculture,daily life aquipment and the story of late king who builded it Not the DUTCH.! been ASKed for an other 5k for entrance the museum..","When you visiting this beach don?t expect that you can go swimming, and feel the sands over your feet!  But don?t worry you still can enjoying sunset and eat some culinary in front of the beach. You can try ? Pisang Epe? a typical food from Makassar made from pressed and burned?","I did snorkling at Taka Bonerate, it was very beautiful. We have been handled by the ranger of Taka Bonerate, They persuade us to try a discovery dive. I am not pro in swimming, i still wear my life jacket while snorkling, so how could i dive? I said it to one of the rangers, but they were very helpful. They explained to us so patiently, informed us that we can see more beautiful views down there. Then me and my friend did it and it was for free.  Coral & fish are very various, i also saw a giant shell, local people call it with ""KIMA"". It take years to grow, i heard they only grow 2 centimeter in a year. So, I think this kima is very old, maybe hundreds year? I only bring a standard camera for underwater, But the truth is the underwater view is very amazing. Then the dive site is famous for the nudy branch, sometimes divers will choose to experience a night dive in Taka Bonerate.  I stayed at Tinabo Island. I admit it that the facilities are less enough for the tourist. You should take bath with salt water. If you are a backpacker, you will not be disturbed with this kind of situation. The electricity will be shut down at 12PM. I suggest you to sleep outside in hammock because our room ""nudy branch"" is very small, and the air circulation was not good enough. When i arrived there, a new facility was added, such as air condition but only in a large bungalow, and the electricity will be shut down at midnight. So, pointless i think.   Food not very various, mainly you will eat fish everyday. If your are from outside Indonesia, you need to beware of the chili. This is a special chili from Selayar Island, chili is very small but it will burnt your tounge. I bought this chili for my mom in Jakarta after we arrived at Selayar. Yes, most of Indonesian reallyyyyyyy loves chili.   Then, i also went to ""Tarupa Kecil Island"" to meet a local tribe, Bajo. These tribe is very famous, they live nomadically. They only stay at this island maybe 2-3 months then move to other island. When we arrived at Tarupa Kecil Island, our guide climbed the coconut tree and we enjoy the coconut fruit to relieve our thirst. We pay nothing for the coconut but our guide pay it to the local people.   Then i also visit sandbanks, called ""BUNGIN TINABO"". We could see a lot of seagulls in here but when we landed in these area, the seagulls flew away. We took some pictures and others only laid down on the beach.   Tips:  Be friendly to local people, they will be very happy to explain everything they know about Taka Bonerate. Actually, they only wants you to decide that Taka Bonerate is a good place to visit and maybe one day you will come back to Taka Bonerate for sure. I made a new friend there.  No internet connection, you need to change your network to 2G network. Only works for phone call in very limited time, we can not predict when the signal is strong/weak.?",I just walked a few minutand and saw some nice things. But didn?t buy anything because it was not really my kind of tast.,"Its lil hard to reach this paradise. You have to ride almost 6 hours to reach this beauty from Makassar. But after you find this place, you will love. Actually this beach is so beautiful. The sand like flours. So good. But so many garbages there. :( I think the society or the?",MaxOneHotels Resort Delia Makassar provides a very unique design (beautifully clean and tidy garden). Interior & exterior quality very nice. Other than that It has a very large garden for garden parties or children is playground. Pool quality is very clean and also available swimming pool for children. In the room also has a balcony with chairs in his room is very comfortable. The room rate was fantastic with the facilities I got. Thanks u MaxOne.,The room is clean and comfortable. Atmosphere is great and all staffs are very polite and friendly.  The sound insulation of the room may not be good as I can hear noises from outside the corridor clearly but overall the experience staying in Harper Perintis is great. Will definitely be back again.,the waiters are very friendly to visitors and good attitude The rooms are very nice and spacious.  Good quality food and drinks The hotel is also located next to Phinisi Point Mall and adjacent to Losari Beach which is the center of the city of Makassar.  A great place to stay with family and friends
"Fort Rotterdam was fabulous! Not just 1 fort, but it was a complex. Amd inside, they hade a museum of Sulawesi history. It was a fabulous museum,!",Losari Beach is the most favourite place in Makassar...you can enjoy the sunset here with many local food (pisang epe and sarabba) while enjoying the sunset...,"We went to Taka Bonerate by plane from Makassar, South Sulawesi and stayed at the Tinobo island resort.  It was gorgeous!  Everyday, 24/7 we swam with 100s baby sharks mostly black and white tips.   The island is a small island which can be circled in 1 hour walk.  The resorts has several air conditioned (AC) rooms and can accommodate about 10-20 people.  It has camping facilities which accommodates more than 20 people.  The island does not have fresh water facilities other than rainwater storage and carted drinking water from neighboring islands.  Everything, including foodstuffs have to be brought in by boat.  Electricity runs from 6am till 00:00.  There is daily regular public boat that connects it to the surrounding islands and mainland Selayar.  At night, the milky-way is crystal clear and it is gorgeous!  We did snorkling and diving and were disappointed by the level of destruction to the (once) beautiful coral reefs and gardens.  There were visible signs of coral destroyed through fish bombings!    During out stay, we met with Indonesia sea police patrol officers who have just apprehended fish bombers and loads of explosives.  They also confiscated a boat.  Taka Bonerate is in dire need of help!  The fish bombing has to be stopped and for this the people of Selayar and Indonesian Government need help!    Please go and visit the Atol and voice your concerns on what you see.  Snorkling and diving in the mainland Selayar is gorgeous!  This is a separate review.?","This National Park is nothing special than the rest but the entrance fee to the National Park is very expensive. It cost ten times more than the locals paid for it. 150k rupiah for foreigners whereas local pay 15k rupiah only. If you  are from Southeast Asia, you can still cheat?","Tanjung Bira offers beautiful turquoise sea and white sand beach and not-so-crowded ambient. Range of accomodation from backpacker hostel to luxury resort is available with reasonable price. Located 4 hours away from Makassar, this is definitely a place to go when visiting?",grand entrance! sumptuous breakfast! love the pools & gym! nice comfy cosy room! brightly decorated surroundings! Wi-Fi signal is gd! friendly & courteous staff! thumbs up! definitely highly recommended,"Sangat baik, fasilitas sangat baik : check in sangat ramah, welcome drink okey, roomnya mantap bersih dan parking service so good....Sangat patut untuk liburan, bussiness travel...If you want to get cozy, come to Herper  Perintis...","Great Service, room is very nice,comfort and staff are friendly. The meal is very tasty and the hotel also located Next to Phinisi Point Mal. Great place to stay with family actually. I will stay with my family next time."
"I went here when it was raining and dark, and I could hardly see any of the exhibits inside. I had to actually use my flashlight from my phone to see. Also spoilt a little by the unrequested tour guide, who kept on explaining stuff as I went along, and had to be explicitly told?","Many people came to this place and took photo for their moments with their beloved one. I came here in the late evening and still many people there. To be honest, the Losari Beach is still under construction because there was one big international event. This place is good for?",,this place not so far from historical place call Goa leang-leang..you can see the beautiful butterfly is and waterfall...with little bit extreme traditional sliding activity,Puang Janggo as the locals named it lies on a hilltop a spectacular viewing place situated in the remote backyard forest of Tanjung Bira is rather unknown to many.The place has no parking space but can be access on a motorbike or motorcar drive going uphill from the entrance?,"MaxOneHotels at Resort Delia provide a unique design both interior & exterior. It has a huge garden for garden party, a long indoor swimming pool & kid is pool. It has balcony with chairs in its room.  The room rate is quite affordable with such kinds of facilities. ",The check in process is wonderful it is pretty fast the waiter here is very friendly the food is amazing even the chef is are friendly the hotel itself is pretty massive and the rooms are very comfortable and welcoming,"Good service memorable stay at this hotel wish can back to makassar and more stay at the rinra ,pool view to the ocean it was great near from city of makassar and near from souvenir shoop area it was helping me carefully to explore makassar as well btw thanks for the room service I will be back soon"
a fortress in a Tropical area? Nothing you would realy expect. Therefor it is worth coming here. well maintained. The best place is the wall to Harbour where you can catch the sunset.,"I was here when the F8 festival happened, so it is so crowded, and the garbage is everywhere. can not see anything because lots of people",,Simply put we went there to see beautiful butterflies but we did not see more then 3. It was a park which promoted on the butterflies but only had dead ones stalled on the wall. It was not special at all. ,"Despite of the long travelling time from Makassar, Tanjung Bira is Worth to be visited.  For people who want to enjoy the calm, quite beach, Bira beach will give you headache, but luckily there is Bara Beach that you can reach by walking through the soft White sand from Bira?","The hotel room is above average, its clean and smells nice. The breakfast is good, considering the price point, and service is really great, their staff really nice and responsive at all times. Definitely will come back here ","My wife and I stayed one night in Harper Perintis Hotel. Very good hotel. Located at 5 km from the airport. Good facilities and rooms. Good breakfast. Excellent price. Friendly and helpful staff . The only negative is that they charge a disproportionately high price for the airport transfer: 7 USD, whereas a taxi charges 2 USD. Out of that, the hotel is highly recommendable.","This place is really comfy for a family reunion. I spent my nights with my family in this hotel and it is the best. They almost got everything that i need. And also love the mall under the hotel, it is Phinisi point."
"The main claim to fame for this fort is that it is one of the few remaining examples of European/Dutch architecture. The grounds are kept relatively neat, and there is a museum with some interesting  artifacts. It is a point of interest in Makassar.",A good place to go in the evening. There are many food stalls along the waterfront although most specialise in pisang epe.. banana grilled over charcoal with a sweet syrup of your choice. There are also restaurants ining ther street wfere other foods are available.. ,,"Very very authentic place. It has historical aura. Not to forget the flora and fauna itself, sooo natural.  I forgot the ticket entrance but what I remembered that its not to expensive.  When we came there, the rain had just stop. So the butterflies will not get out from their?",Bira Beach is crowded during weekend by locals and people from Makassar. At the beach you can find several warungs. Bara Beach is more calm with palms. But sometime when the wind is not good you can find rubbish at the beach :(,"Cute and colorful decor. Clean rooms and linens. Basic toiletries and wifi available. Cool elevator buttons. Staff were friendly and helpful :) there are indoor and outdoor pools, a gym and a playground. Lovely  garden which is good for events. will definitely come back again",The hotel is great and the service is also great. In the restaurant we met kk zhakila and we speak English together. The decor in the hotel was incredible and because its holiday me and my family want to go to the swimming pool,"The hotel location if in front of Losari beach. Very beautiful view. Every day you can see sunset from your room or from swimming pool or restaurant. Hotel connect Mall, parking area is available. Excellent service. Good hotel ini Makassar"
Apparently the best preserved Fort in Indonesia - Originally started in the 16th century - They say free entry but your wallet will run hot due to the various entry charges ie Buildings are museums with various artefacts - Need to give ?donation? also on entry,Didn?t manage to spend a lot of time here. Brought the team of 30 to have dinner and a little walk around here. I think if can come here in the evening it will be nice. Ate ?nato? local food nearby.. the food is wonderful.,,"only 2,5 hour by car from city of makassar, beatiful place but not have good maintenance. Inside the park we can see big waterfall and you cand go climb up the hundreds of stairs to see one cemetery before you can see stalaktit and stalakmit inside the cave ( little bit scary,?","The best sandy beach that I ever stepped in. You can do snorkeling, diving in Kambing Island, or see seaturtle in Penyu Island. There is Banana Boat, Jetski, or swimming. You can get room around bira with rate Rp.150.000 - Rp.500.000. Bira is 5-6 hours drive from Makassar, if?","Great hotel !!! Had a great experience there, will absolutely get back to this hotel. The service was in very high quality. The price was also affordable. Very recommended for family. It has great playground and swimming pool.. ","need more improve due to car park for being better ( more level for IT), good hospitality and attractive service , drugstore or souvenir shop, parking area need more space ti give customer easy to drive ",Very nice and comfortable  hotel to stay. Staff are all so so friendly.  Rooms are good size and clean. Location is good. A small little shopping mall attached next to it. Breakfast was good too with both local and European fair. Highly recommended. 
"Makassar is a dump. Dont go, but if you do and you want to see something i guess this is the only thing available.  The historical explanations inside the museum have been falsified and all is just sad. As a sole female traveller, do not go to Makassar it is not safe. As a sole?","No longer a beach, just a waterfront/ esplanade. Sea is lined with trash. Visit during evening/ nighttime, esp. the right-hand side (as you face the sea) for stalls, food vendors and so on.",,"Its not far from Sultan Hasannudin International Airport (South Sulawesi Airport - UPG) maybe without traffic jam u can reached only 45 minutes-1 hours. the way is good, Lots of cliffs along the way to get to the place. u will feel so nature here. they sell Butterflies are?",The Bara Beach has white sand and calm-small wave that really suitable for family trip. The clean water and yellow butterflies flying above the sea is  really give you inner peace.,"Hotel is very clean and good service, staff there were very friendly and are always able to meet our demanding demands even if it is way in way early in the morning. Overall, a great hotel with great service.","Friendly staff, rate normaly for 4 stars hotels.. fast respon at check in, and check out also :) reservation just via phone, i just call the sales manager, and when i am arrived, everything well prepared... big thanks for all staff, and management.. i will return back to stay at harper perintis.. actualy if give me surprise price.. )",a nice and comfy place to stay. holiday with family and friends should be nice also. the room was superb and the scenery was very nice. warm greetings from the staff upon check in. overall should be a comfy and recommended place to stay for holidays. its worth the money.
"First thing first, the entry to the fort is free. You can give the guard some pennies, the number is up to you. It is a well maintained fort from colonial era near the port. You can explore bastogne, garden, fortification and many others. There are two museums inside the fort.?","is just a walking area, nothing special, in evening a lot of warungs sell identic food( banana, corn, tea or coffee)few monuments . very popular place for local peoples",,"Bantimurung park is quite large, here have some spot to visitied like waterfall - Dream cave ( Goa Mimpi ) - Butterfly park etc. My favourite place is "" Goa Mimpi "" . When you enter to this Goa ( cave ) it is like a adventure with many challenge where you should be walking around?","White sands great!Great atmosphere , i went here with my friends , we spent 2 nights in hakuna matata resorts, actually this resort not ready yet, but they have a great plan to build this resort  Afterall i will go back here","Nice location, more comfortable, less price.. really love It. View as hotel it so beautiful..   Try it.. you will love it  Must have try it... have try it...Must have try it...Must have try it...  One point.. it Less price  ","i like the gym and swimming pool that name agus, he so humble to me he always give what i want  restaurant staff also humble to me but must to improve  check in prosses is fast and nothing problem i thing this is good hotel with a good standart by their start","Stayed at the Rinra for two nights, and overall had a pleasant stay. No fuss during check-in, courteous staff, and nice ambiance throughout the hotel. The room is quite spacious, cold AC, bed & pillows are very comfortable, and the amenities are excellent. The windows on the room does not seem to be fully soundproofed, so if there is an event going on downstairs, it will still be audible. The bathroom is spacious, however very lacking on hanging/drying rack which is annoying especially when you are trying to hang-dry swimsuits / small laundry items etc. There is ample space to install a laundry line or extra towel rack/bar, and yet there is only the small towel rack inside the shower area where the clean towels are placed, and one (!!) wall hook.   I did not expect much from the?"
"When I visited, there was no enterance fee requested. I think it is better to ask for enterance fee from visitors so the management gan use the money to improve the cleanliness of the site.",It?s kinda hard for skip this beach <U+0001F3D6> when you go to Makassar as its very famous and its located uptown Makassar surrounded by local foods that you can have while strolling around the beach ,,"This is one of the most popular place to visit when we are in Makassar eventually this place in Maros regency, this national park has a beautiful waterfall and the view is awesome...Bantimurung has an iconic symbol which is a huge monkey in the entry street, also it has a huge?","Bira and its famous white sands, it is for real one of the softest i have ever stepped in In Bira coast there are Bira beach, Cosmo beach and Bara beach, if you walk in the early morning you can reach Bara easily by walking on the seaside",This hotel is innovative ones. It delivers new concept to all the guests who stay in MaxOne Hotel Makassar. The services is excellent and the employees are very warm to all the guests. The room is very clean and neat also. GOOD CHOICES!,"Absolutely the first choice in makassar.Nice rooms very close to the airport and very friendly staff. Food and service were really good and they even helped us with planning and organizing a trip to bira.do not know all the names of staff but we want to thank tommy, adim, fira, tere, sapri for letting us feel at home. Absolutely recommended if you need to stay in makassar!","I really love this hotel cause very nice hotel, good sunset makes me feel more rilex. Various food really love the traditional food that always changes everyday make the guest does not bored with food and i reallt recommend this hotel for my colleague<U+2764><U+2764>"
"It is a Dutch colonial fortress and still well maintain. A good example for good fortress architecture, they have a museum as well. I think, cleanliness could be more properly done  ","Losari beach provides us with many cullinaire things but the food streets are not good. If you want to eat and taste the makassar cullinaire, you should go to the restaurants around the beach. The pedestrian side walk is not good to walk around, i think there is no pedestrian?",,"At the front gate we see the butterfly shape gate were really broken, means this park condition need maintenance.  But the view inside was very amazing, with beautiful butterflies and we also can climb up to the bridge to see butterfly with great view.   Inside park we can found?","I was dissapointed. This beach is so popular so my family decided to watched the sunset there. By the time we entered the welcome gate, it didnt looks good, it was so packed, also full of dirt. The same things happened at the beach. I enjoyed nothing there.",I was there for 2 nights for business trip. The place is very new with coz place.   The staff is super friendly and helped us with several questions. The rooms are small but fully equipped and the bathroom is good. It is a good value for sure and we would stay there again on our next visit to Makassar  It is worth the money,Pelayanan : good Food           : good  Room          : good and cozy  Thanks Nadine for being nice and best service and information during stay in Harper...next time will be staying again  This hotel is very convenient and recommended for everyone relating to business or vacations as well.,"Honestly. Just poor. It?s one of those hotels where once you check in  - they charge you on the spot and I mean on the spot - cash for anything. You want an extra blanket? Cash. Room serve snack. Cash. Now. Otherwise - dated design, poor ac, dirty rooms and poor breakfast. Can?t wait to check out tomorrow.  Stay somewhere else."
"places to visit, parts of colonial history, places to go not far from hotels and interesting places to take photos",The place is dirty and the water smells bad. You can find cheap eat nearby but I would not recommend you to stay more than an hour. ,,"Cozy,fresh air,peacefull is atmosfer when visit to Maros Bantimurung Waterfall.Many colorfull butterfly fly around us near river bantimurung.Use sandal if go there because the road was slippery.","Much as people say its dirty horrible or sorts, it has turquoise waters when high tide and powdery white sand.","Room size are good even for the standard room. Cleanliness is excellent. Staff is attentive to our request. The hotel has huge beautiful garden and charming little chapel. Recommended to hold your party here, or to have a stay when you are in town.","I am a frequent guest in this hotel.  For every visit, the room is always in good condition. Comfortable, sparkly clean, has a spacious space eventhough it is only superior / deluxe room. Outstanding polite staff. The location itself is not that bad. Eventhough the hotel is far from the city but i can not complain more because its located near to the airport & also to my company is office. So far, it is the best among all the hotels in the area (around perintis kemerdekaan).  Never had problem during my stay but tonight. I have one night booking for a superior king room. The receptionist did not mention anything during check in. I assumed all good. When i entered the room, it is twin bed not king. So i called the reception, asked why he gave me twin bed instead of king. He answered?","The reception really helpful for check in and check out, the menu always make us wants to go back there, the pool is very kid-friendly, the room is clean and all the staff from security to the bellboy is so helpful, very excelent Service for me and my family"
"Visited on a hot afternoon, and had a guide bring us around briefly. There is potential for this space to be developed further to encourage tourism to the area! Quite interesting to know of the various spaces, and we had the chance to visit a local artist who paints using clay.?","Good enough beach. We just can take picture here, not like ussuall beach. There is no sand to sit. At night some of attraction from local people you can enjoy.  Beside the beach, lot of seller there, you may buy souvenir or local food. I suggest you to try ""pisang epe"" a?",,"They claimed as one of the biggest butterfly national park in the world with very rare of kind and also the only one park exist in the world. a lots of interest places inside of National Park such as a lots of cave, waterfalls, forest, camp areas and all nature activities.",White sand and blue ocean with seaviews to the other isle nearby. It is hot during daytime so take your walk before 10 AM or after 5 PM. ,"Nice hotel with a great view and great food ! If you are traveling to makassar city dont forget to try maxone hotel makassar .  The swiming pool are very nice , you can have a room right next to the pool.",You guys are excellent at services. Wish be here for the next trip/business.  Best attitude from mbak Zhakila too.  Dia survey setiap pelanggan disini sepertinya. Sangat baik sekali menurut saya. Semoga dapat terus di pertahankan layanannya.,"05-08june2019 Room#923 Poor hospitality start from check-in, zero smile lady. Cant see her name badge. She block it with her veil/kerudung. Super small room. Extra bed rp450k is super expensive considering ugly hotel. Not allowed to bring drink to 3rd floor (swimming room and gym), hotel sell drink there. Crazy!  Coconut rp55k. Ridiculous! Went to breakfast restaurant (3ed floor), a lady employee say breakfast rp250k. Went to lobby/receptionist, a lady employee say breakfast rp115k. Ask for pillow, must pay! Darn!  STRONGLY NOT RECOMMENDED. WILL NEVER RETURN TO THIS HOTEL!!!!"
"One of the colonial fort that still exist, keep lots of history. It has museum in it, need more maintenance and more interactive media and activities to turn on the aura of this place","Practically, you do not find anything interesting if you come here at noon. The place will be so hot and humid. But things change when you come here in the evening. The place is so crowded with people enjoying sunset and many food vendor open their stall at night. You can buy and?",,"I was guided by a souvenir seller who was very kind and informative, the weather was good, not raining nor too hot, but there were not so many butterflies on the time I came. The guide said that you will find more butterflies in the dry season, especially when you wear red. But?",This is a very nice beach with a view which is incredible.  It is also possible to take a boat to go to the island.  Nice place to relax and to picnic.  There are also little shops were you can buy drinks an small snacks.,"The room itself completely comfortable, have comfortable bed,, I was stay at 201 for couple days for a business, the hotel area very cozy, have a big landscape with nice plantation, room services very good have a various menu especially local recipes.","Traveling solo frequently safety is a great value. The location is just right in front of the main police station hence I feel assured staying here. It is also quite close to the airport. The rooms are in good size and very clean. Most presentable compare to other hotels I?ve stayed in makassar. For business trip, worth to have a go.","Stayed there for a week, for in house training at the hotel. Great hospitality. Room was great, spacious for two personnes. Comfy bed and pillow. Clean. Complete amenities, they also provide room robe. What I like is that they provide Dilmah tea in the room. The laundry service also quite fast. Breakfast was good, even though less variety of menu, especially if you stay for days. It is located next to a mall (forgot the name), and close to Trans Mall and Losari Beach, you can use taxi service or order online taxi / ojek.  What need to improve is the lightning at the restroom nearby the meeting room, it is quite dim and also to fix the bidet at the twomen is toilet. Guest only have access to use elevator to their room, which was bothering me since I often had to go to my friend is?"
Such a wonderful place to visit and understand more about the history and Indonesia is heroes. Lovely museum upstairs to walk around in as well.,"Losari Beach is a bit of a misnomer, there is no beach. This is an esplanade that runs along the sea from the mosque for at least a kilometer. There are numerous statues placed around the promenade and sights across the water to photograph during the day. At night the stalls?",,"Bantumurung has its icon: butterfly and yes, there is a plenty butterfly there. Karst hills are awesome!","It was a long 5 to 6 hours over crowded car ride from Makasar, Sulawesi but I thought it was worth it if you want a good beach and great diving What you can do if you do not dive: Go to the beach (see below) for swimming and snorkeling, visit a traditional ship building factory,?","Interior unik,bersih, nyaman, the food was tasty, next to with minimarket,recommended hotel,so many various food,over all was good and wanna come back to stay at max one when i visit Makassar again...","The hotel hospitality is very good and restaurant service,other facilities good,Room is clean,stay behavior is good...   constrain- hotel far away form town.  Advantage- near to airport   thank you so much","I recently stayed there for 1 night  with my family at 2 connecting deluxe rooms sea view. The rooms are spacious with  nice amenities and already have  IPTV service in the room so we  just klick the  button for any service required. My kid ordered iftar package from room service, the taste is delicious but unfortunately the menu sent to the rooms were not complete (they forgot to deliver tempe goreng + telor asin which already stated on the flier and I have to call room service  asked them to send it to my room). When I went to the restaurant for sahur,  have to wait for about 15  minutes to get the seater. The food refill during sahur should be faster and I have to asked waiter for several times to re set up our table. The view from the outdoor venue for iftar buffet are so?"
"When I was there, they were celebrating a huge collection of traditional knives and swords. Got to meet the Minister(?) of Tourism for the province. ",For me it is just a square. There is no sand so how can it be called a beach? It is a nice place for taking some nice photos and that is it. Water is very dirty and is also full or rubbish.,,Poorly managed. Old people tell me it was a beautiful place long ago. Cant find any butterflies now. About an hour ride from Makassr city.,Tanjung Bira takes 5 hours by car from Makassar city. The view is amazing. White sandy beach with the gradation of the blue sea. You can rent a boat to Liukang island and Kambing island for snorkeling.,"hotel have good swimming pool design with indoor and outdoor and mini gym, also can walk through the garden in the morning with good fresh air, but need more street direction to access the hotel location inside the main street of jalan perintis and cemetery","We absolutely loved it, we had a junior suite, no view, but the room was beautiful and clean, service was exceptional, food was five star, it is close to the airport and they offer a free shuttle! We have never had any complaints about the Aston Hotels, and will be back next year!","I had a great time staying here. Went here for bussines trip, then i found it hard to connect to the wifi. But all is well, bcoz i brought smartfren mifi with me all the time.  Love the hospitality and the sunset view. Will be back soon!"
"Well, there is not much to visit in Makassar so you will probably visit this one. Not that much interesting and they will ask for a ""donation"" before entering.  If you  are not sure you want to come in, pass your turn and save your money.",Excellent beach in the makasar city.  Losari beach in makasar.  With yg friends trip     Picture at Losari beach. ,,Visiting this place with my husband and daughter. It takes an hour to reach the place. To enter the place you must pay 25k rupiah for the ticket. In there you can see waterfalls and caves. We try to go to one cave it is called Goa Batu.. You must climb for about 150 stairs and?,"Visited here with my kid during May, it was quite nice experience. The beach itself is really stunning with blue ocean and white sand. But the shore is very dirty and there are too many food stall that ruins the view. You have to walk quite far to find the best part of Tg. Bira.","We?re coming twice at the beginning of our trip and at the end, becuase it is a really wonderful relaxing place. Best tips at the reception and a very friendly atmosphere. Ask for the special fish-restaurant,  our favorite point in Makassar, the restaurant ""Rumah Makan Nelayan"".  Thanks! Used the crab cars!","This hotel was way too far out of town. While i was visiting and expecting to go out for food and more food,  when you stay in this hotel all you can have is KFC and local nasi kuning on the road. However, that was my own mistake for booking it without clearly checking out the location.   Pros : - Clean and smells nice  - Polite staff - Breakfast offers quite a big selection - Offers an iron in the room  Cons : -Had a twin-sharing-bedroom, and both bed seemed to creak.   -All towels looked really old and no longer white -The curtains had no black out, so in the morning one can see it being bright outside","I was stayed here for work only 1 night. This hotel was very clean and quite spacious. I got an pool view from my room.  For breakfast, I am quite hurry to catch the flight so I do not really enjoy my breakfast.  Anyway its a really good hotel."
"I suggest to visit because you will know all the information inside, ask local guide ( chargeable ) but worth.  Never regrets about this historical place.","We came here bit too late. Is already 6pm. Nice view taking photo. Along the beach lots of local food stores,  local food like pisang keju. Not bad can try. ",,The first time visit and feel awesome.... to sad I can not swim... the water falls so cold and chalenging. Next time visit should bring the swim suit,"Blue ocean! Tanjung bira is a great place to escape from the hectic outside. But if you want to have a better holiday, do not stay in bira, instead take a boat to liukang loe island, and pleasee!!! Stay there...! A hidden paradise!","Hotel with Full Facilities. Starting from the Arena Paint Ball, Swimming Pool, Park and Jogging Track is very spacious, Restaurant, up to a very spacious Meeting Room. Very friendly service. And most importantly the security is very secure because only hotel guests with room keys that can access to the hotel rooms. In addition, the food served is also quite varied and tasty. Although located in the middle of the city, the atmosphere of this hotel is quite comfortable and not affected by the sound of the vehicle as we usually get when occupying a hotel in the middle of the city.","The Location is only about 10-15 minutes driving from airport, Room is clean, even the location near with airport but the room is soundproof so you will not hear any sound from outside, it is really quiet hotel, they also have swimming pool, the price is 3* but you will get 5* service. I met with Pak Arifin Achmad he is very helpful and kindness...  I recommend this hotel for transit","if you plan to have a mini celebration for your loved ones,don?t hesitate to check in at The Rinra Hotel Makassar. very welcoming staff and beautiful cake on bed .thank you The Rinra for making our stay memorable moment."
"Didn?t have a tour guide, because I went with school, the local explained the history to me. Very rich in history, after hearing tempted to read up more about this fort.  Negative: 1) female toilet is locked, waited very long thinking that there is someone inside. 2) toilet very?",We really liked Pantai Losari. You  are  ameant  to be there at sunset and eat pisang epe (flat banana with your choice of sauce) - and it is easy to see why. It is just beautiful. Going in the middle if the day is not recommended - barely any shade and it is really glarey. Good things?,,"There is not much on Internet about hotels or local stays (wismas) in Bantimurung nature Parc. But actually there are! The Wisma Bantimurung just outside the parc gates does simple rooms for 200,000 Rp., while the Hotel Bantimurung within the parc is grounds is having newly?","Ohhh yeahhh...  Pantai Tanjung Bira or we used to know as a Bira Beach...  i love this place,. has a beautiful white sands and its like a flour..  The ocean water is so bluee and so shinny...  nice place for a dive and do snorkeling activity.. many guest houses and hotel with a?",I enjoyed staying here because of the ambience and quick response of the receptionist. What this hotel needs to improve is the cleaning service. I stayed 2 nights but the towel had never been replaced. Hmm... ,We just stayed one night and arrived quite late. The location is very convenient - 15 min away from the airport. Rooms are really clean and good facilities.  This hotel is good value for money. Did not manage to try the breakfast as I left very early. ,"Stay one night at this hotel with fam so enjoyable, the fasilities enough for our need, our two daughters enjoy the pool and also the breakfast,   design merge with mall , make the visit more enjoyable.  You can choose the sea view for more enjoyable."
"This is my favorite place to visit in almost every weekend. I will tell you what you can do in this place. 1. You can enjoy the sunset on the fort. So, come in the afternoon. 2. It has Museum contains Sulawesi arts and history, especially Kingdom of Gowa. 3. You can join the?",It is not a beach actually as it is all dammed. But yeah it has one of the best sunset. Just check some pictures.   Note: at night there are some hawker stall selling banana. Many many of them!!!,,"This location in good national park...great butterfly,nice waterfall but it is too crowded in the weekend so we cannot enjoy it...","After 4 months ago i was here and today i am back here. Enjoy the sun shine reflecting blue ray on the sea. Easy for to reach this place, 4 hours from Makassar city. ","Went to Maxhotel for business trip around November 2016. The client paid the accommodation so no comment on the value of money.  In overall the facility and hotel design are really decent as the hotel are pretty much new. The breakfast is satisfying, something that you would expect in 3 star hotel  ",new hotel. . quite close to the airport. .the hotel one area with another business center. . the room is quite spacious. . clean and comfortable. . the service is sufficient. . the food is enough. . the gym is good. . clean and spacious..its recommended hotel,"I spending my weekend in here and it was fabulous the staff handling me with care and attention very helpful, friendly and polite i love the breakfast so many varieties of menu with the good taste you should try to stay here highly recommended"
"Not much to see and no explanation of function of different buildings. However,well-maintained and no entrance fee (you are asked to make a donation). We went on a Sunday and it was wonderful to be allowed insight to how adults/children engage in leisure activities, attend?",Losari Beach is not a beach per se. There is no sand no beach to speak of. More like a stone walled bay. Try taking the boat to nearby islands instead for some authentic beaches.,,"This the great and amazing nature of Celebes. butterfly, spring water and other can make you feel peace and you will love it.",Beautiful beach with white sand. U can see the ferriage Port with the beautiful view. This Place Connect Celebes Island with Selayar Island,"I stayed in this hotel with my family in the weekend, besides their green and amazing garden view in the morning, they offer you a free barbeque in the weekend. Overall this is the best hotel for you to spend your quality time with your family. P.S Twi THUMBS UP!! For the breakfast menu cos they serve Authentic local food ( coto ).","The front desk, concierge and restaurant staff are outstanding. The Furnishings are new and appealing.  I particularly want to point out the excellent customer service by the morning restaurant staff of Faisal, Nunu and Rahma. They are all friendly, courteous and kind - true professionals. They should be applauded for a job well done.  I highly recommend staying at this hotel for it is close proximity to the airport, price, newness (open 2 years) and professional staff. ",My stay at The rinra was great the room was nice and quite spacious bed was comfy bathroom is very clean it was very nice to stay here for my family vacation the staff were friendly and helpfull definitely we will choose this hotel again.
