White_Charter,Tangkuban_Perahu,Dusun_Bambu,Saung_Angklung,Ciater,YELLO,Aryaduta,Trans
When we reached there it was so cold! Luckily my mom and I packed up sweater and we are spared from the coldness of the atmosphere. The weather at that time was very foggy so we don't have a good chance to actually take good photos. The surrounding forests look serene and calm…,"love the view here.the weather also good,calm and relax.but the fee seriously very expensive for tourists",Its a nice place to have a family vacation. Have a new ambience for urban people to relax. Its better to visit not in public holiday.. too crwoded..,"In this show, you will be introduced to a traditional musical instrument : Angklung - how it work and how to use it to make diffirent tongue of sound.  Don't forget to pass by their souvenir shop in the end of the show, so many things to buy with amazing cheap prices !","In this show, you will be introduced to a traditional musical instrument : Angklung - how it work and how to use it to make diffirent tongue of sound.  Don't forget to pass by their souvenir shop in the end of the show, so many things to buy with amazing cheap prices !","First experience stay in yello hotel and amazed by the simple but fresh design on the interior. The service also very good and friendly. All young and friendly hotel staff give joy to us. The location is inside PASKAL SQUARE and connected to the newest mall ""23 PASKAL"".","It was great. Thanks for having us in 4 stars hotel. But I'm sorry to be honest that the breakfast must be improved. The taste was not really good. Only omlete and breads that we like. But overall, our satisfactions is beyond! Thx","My 1st experience staying here, as our trip with children wanted to go to Trans Studio. Connecting to mall and trans studio make everything easy for us. Comfort bed, good and wide selection of breakfast, good amenities, nice pool, clean room. Quick and attentive service from the staff from the check in counter and housekeeping to meet our needs."
"Breathtaking and amazing view. Very nice to take a lots of picture. Needless to say, the white crater turquoise lake was simply epic.",Warning to all who are visiting this place. This place is full of 'Orang utans' who self declare as guides and support staff. We were ambushed to buy souvenirs at exorbitant prices and it's difficult to bargain or even refuse to buy their useless wares.   Once we reached the…,"Good for family with kids. The rabbit wonderland was nice, with a maze and small place to run around chasing rabbits, my only complaint would be that they start keeping the rabbits from 4-5pm so we missed the rabbits running around and saw only a couple. Rabbits were clean and…",I have been here for three times already and never get bored. The most interesting part for me is an angklung orchestra but overall show is awesome tho. We can learn a lil bit about sundanese traditional art and the angklung it self. ,I have been here for three times already and never get bored. The most interesting part for me is an angklung orchestra but overall show is awesome tho. We can learn a lil bit about sundanese traditional art and the angklung it self. ,"Goed location, good breakfast,  service and helpful.<U+0001F44D><U+0001F44D><U+0001F44D><U+0001F44D><U+0001F44D>, nearby trein station, downstair is shopping mall , supermarkt, shopping, restaurant. And 5 minuten walking there have  very ice food market<U+0001F60B><U+0001F60B><U+0001F60B><U+0001F60B><U+0001F60B><U+0001F60B>","I booked this hotel on last minutes, luckily that I still got 2 room. The room is spacious and clean. The location is just walking distant to mall BIP next door. All the staff is very helpfull, from front office, restaurant and even the security on the parking area. Very recommended if you want to have family weekend getaway.","Stay in Trans is very good and happy experience, Nice staff, great hotel room, clean and bright room, great beach theme pool, great and delicious food. Beautiful and kind staff. Perfect hotel. Thx Trans hotel."
"The place is managed very well. If we don't want to take our vehicle to park near the crate, there's a parking lot also near the entrance, surrounded by souvenir shop, and there's public transportation arranged by the management to go up. On the parking lot upstairs there's no…",This Is place is nice! Great view weather is great. You can get souvenir up there. Food is also available. The view along the way is amazing. ,"If you feel stressed out or tired of the city, then go here. Because it is really natural where there are so many trees, pond, and flowers. This place is so well mantained. They also provide bus for free transport from the main gate to the main attraction. When we went there, it…",This place is very well known in domestic and international. In this place you can enjoy music from angklung also can learn how to play angklung. This place not really hard to find.. you can access it from google map too.. the place also make you feels like back to nature,This place is very well known in domestic and international. In this place you can enjoy music from angklung also can learn how to play angklung. This place not really hard to find.. you can access it from google map too.. the place also make you feels like back to nature,"Best location, attractive interior, sufficient facility, responsive and attentive staffs, couldn't ask for more.  The lift traffic is not bad, it won't make you wait for too long. I happy staying here. Keep it up!","The room is spacious. The location is strategic, connected to BIP, very easy to find food nearby. Breakfast not so many choices, yet nice. Shower is inside the bathub, quite dangerous for elderly or children. Overall, great service, will be back for sure!","Spend one night in the Trans Luxury Hotel with my family as part of our vacation in Bandung. Check in process was quick and smooth, in minutes we have access to the room. This hotel is built and designed with luxury in mind, you can see it from the moment you step in to the lobby. Luxury interior can also be found inside the room, it felt like staying in a classic five star hotel.   Service and hospitality was top notch. Staffs are kind, polite, and helpful everywhere they stationed. Breakfast was superb, though it felt like a normal hotel breakfast with no nature view but the quality of the dishes was remarkable.  Some unique features of this hotel is its beach pool with sands, my kid loved it playing there. The next one is the restaurant at the 18th floor, it boast marvellous…"
"I always come here once in a month at least, i visit here as a tour guide bringing my customer from around Asia which choose Bandung as their holiday trip. The weather sometime can very could around the crater, so i suggest you bring your warm clothes if you want to go to the…",WARNING TO ALL WESTERNERS. Entry into see this tourist spot is a joke. They charge WAY more because i was white and in a car with 4 other indonesians from Bandung. We tried to argue why is was $30 alone for me and $3 for them to enter and they just said it was a government…,"We could arrived to the restaurant or bungalows with its unique accomodation car after we bought the entrance tickets.. there are so many attractions  for children inside..such as play ground, bycicles, etc..","It's like unprofessional school show , that they use children in most of shows that I think they are not paid ( I asked people there about that , and they assured this)  But to be honest there is one orcestra show that was really good and funny But still don't worth even half a…","It's like unprofessional school show , that they use children in most of shows that I think they are not paid ( I asked people there about that , and they assured this)  But to be honest there is one orcestra show that was really good and funny But still don't worth even half a…",The location is the main attraction because it located next to 23 Paskal Mall. It offered low budget cost but very nice and clean room.But if you want big room it is not recommended because it only for low budget,"Booked this hotel to celebrate my son birthday. Surprisingly, Front Office team - Bu Felly gave us birthday cake which make my son is very happy.. room is clean and spacious. Pool with kids corner also good for us with family. They also have garden.  Thanks also for the security team, they are very helpfull and warm. They assist us at the night to find parking slot. ","It was about two weeks ago my fam n me stay in this hotel. When we arrived my boy was getting cold. Refused to eat and cough all day. To my surprise when the room boy and girl clean the hotel she asked me about my boy's condition. Whether he's sick or not. And she offered me to have nurse visit.  And, when we're about to having a walk in the mall near the hotel we asked a wheelchair for my boy so that he can enjoy. The hotel borrowed us the wheelchair. And for all services were free.  The food is okay. And bcoz of the warmness from almost all of the employees my hubby and I discussed about it when we're on the way home. How well the management of the hotel so that all peoples involved having such amazing hospitalities. Almost all of them were amazing. Warming and touching our…"
It’s worth going if you’re in the ciwidey area. Took around 20 minutes from the main gate to the parking lot near the crater. Not suitable for elderly and for child under 2yo since there’s quite a lot of stairs. ,"Entrance fee is +- Rp30.000 (correct me if I'm wrong) Visit here better in the morning, less the crowd and still fresh. Could be crowded in peak holidays. This place closed at night becoz no electricity. Worth the visit :)",We came here during weekend and the traffic was a bit crowded. There is transportation provided from the cark park to the garden. The local ice cream sell here was nice to try. This place is a bit steep.,"such a nice place to educate the kids and experience the local culture and playing angklung instantly. the ticket is a bit expensive for domestic, but understandable due to enormous people involved in the show.","such a nice place to educate the kids and experience the local culture and playing angklung instantly. the ticket is a bit expensive for domestic, but understandable due to enormous people involved in the show.","I was there during the Holiday Season. There was the usual hotel rush but checking into the Standard Room was no hassle.  Room and bathroom were tiny but well lit. Bed was comfortable. Floor felt dusty though, housekeeping needs to be more thorough. There is a day bed in the room. Wifi has a good strong connection. Rooms are not soundproof so bear that in mind if you’re a light sleeper.   Tried room service. Took forever to have my order delivered, perhaps because it was holiday rush. Decided to go down the mall for meals instead of sitting around waiting for food.  Breakfast was so-so with the usual breakfast buffet menu. Wasn’t bad but wasn’t that good either.  There is a non heated kiddie pool available. No life guards so watch your kids closely. There also a game corner in…",Location of this hotel is very good.  the building looks old and abit dirty  but overall it's ok.  the downside is only with the check in timr. I have arrived at the hotel at 4PM. and somehow my room is not ready. I booked 2 room for me and my family. I finally got my room on 5.30PM and my parents got their room 6PM. ,"Clean room, good service staff, comfort room, good facilities, good location, directly link to the mall, good variety of breakfast. I and family having a good vacation in here. The only things that we disappointed is the parking area, it's take us too long to get out of there"
Unusual lake  but the sulfur dioxide concentration in the air is quite high ! We can smell it as we approached the lake . There  was a write-up on one of the boards about how they discovered this place..... the birds  avoided flying over it . Masks on sale won’t prevent the gas…,"Paid an entrance fee of IDR$337500, you get to visit one crater only, if you want to go visit the hot spring, that's another IDR337500, this country really hates tourists do they? The locals are paying 10 times less!!!! ","This place had two big eating place. The exclusive Burangrang restaurant and the other one was more like foodcourt style. Both located in the middle of the property. Paid IDR 20,000 and will be able to take decorated mini bus that circle around this area. If you walk, you will…","So great! Kids love it, grand ma love it, local, foreign ppl love it, a truly universal experience that everyone can enjoy. Music at the heart of each person, we listen, we learn, we play. Culture, humor, music, such a wonderful time with family and friends. Imo a must-do in…","So great! Kids love it, grand ma love it, local, foreign ppl love it, a truly universal experience that everyone can enjoy. Music at the heart of each person, we listen, we learn, we play. Culture, humor, music, such a wonderful time with family and friends. Imo a must-do in…","This is no bad  hotel , but wifi a bit slow at nite time, and maybe  will stay back to this hotel at my next trip. But I hope can solve the wifi issue when I come again. Location is ok, near shopping mall.","Strategic location, spacious rooms, clean, neatly arranged, friendly staff, swimming pool and playground cool, overall very good but unfortunately from the parking lot to the lobby there is no elevator only stairs and the breakfast menu is less varied. Hopefully the future will be even better.","The Trans was the best hotel I ever stayed! Everyone in the hotel were friendly, and the room really luxury! The most complete toiletries I ever found (they provided bathbomb, loofah, nail kits and many more)! They also have 3 pools, really good for kids too! The breakfast also delicious! Awesome!"
"The scenery is just awesome! This place suitable for family photos with awesome background of white crater. We come here with our Son and parents. However if you want to come here, please take note of the visit duration (suggested only about 15 minutes due to the smell of sulfur…","It can be fun to see a volcano ! However there were quite alot of local men who acted as guides and persist on selling tourists their goods . The Long trail down to the hot springs can be quite challenging for the elderly and those who have weak knees. Alternatively, one can…",Went there recently during our holidays with the family. The kids really enjoyed it especially the playground that was located next to the birds nest/walkway and souvenir centre. When we were there the weather was cool around 17-19 degrees which made it more pleasant. The food…,"This traditional show revolved around the angklung, a traditional bamboo musical instrument popular in the Indonesian and Nusantara region.   The show consists of traditional songs, dances, a traditional puppet show, and the angklung. A lot of the performances are performed by…","This traditional show revolved around the angklung, a traditional bamboo musical instrument popular in the Indonesian and Nusantara region.   The show consists of traditional songs, dances, a traditional puppet show, and the angklung. A lot of the performances are performed by…",I enjoy staying in Yello because of cleanliness and also good location for culinary around the area. All staffs mostly very helpful and fast response. I'll come back again to stay in Yello if I come to Bandung,The room is spacious and clean. The bathroom is also clean. The wifi in the room is very good. But the parking lot is not too big. We have a little trouble to park our car at the hotel. Because the parking lot is full. The breakfast is so so. Overall I enjoyed my stay at Aryadutta. ,"This is my second time staying at this hotel, the first in 2012 and the second just now. Even at the beginning there is something problem but finally Mr. Fadly as a duty manager taking hand on it . The houskeper Man Mas Ari is very good and also Mas Ricky and the front office line is informative. The room is so clean and the people are friendly. I will back to this hotel again."
This place is around 2.5 hours away from Bandung city. We rented a van with driver to come here and we left the hotel around 8am. Recommend time to start your travel to this place is between 7 to 8am if you are coming from the city. There was a stop to pay for the entrance…,Beautiful nature view but for younger children better to wear mask due to sulphur smell.  There are many souvenir seller there. Bargain is a must. Some good can be priced doubled or even more.,Great place to relax and rewind. Flowers are colourful and lovely.. It is completed with eateries and great view.,"Saung Angklung Udjo is one of the most cultural places in The Capital City of West Java Province, Bandung. It's a tiny 'village' of which the Sundanese traditional musical instrument called BAMBU is made, displayed and even played in a very interesting colossal performance…","Saung Angklung Udjo is one of the most cultural places in The Capital City of West Java Province, Bandung. It's a tiny 'village' of which the Sundanese traditional musical instrument called BAMBU is made, displayed and even played in a very interesting colossal performance…",Anything is good except the internet speed. i can't streaming properly with youtube and other streaming site. And i hope they use carpet in the floor near bed. it's feel sticky when my feet touch the floor after wake up.,Good hotel.  Suitable for couple and family.  The room is very clean.  Fast services during checkin or check out.  The pool is not to cold good for children. Strategic place connecting with mal BIP.  We are happy thanks,Best experience so far.. will definitely stay in this hotel when I am in Bandung.   The birthday setup for wife’s birthday was wonderful. She’s surprised and happy.   Many kinds of food for breakfast >> superb!
"This place is about 1.5 hours drive from Bandung.  Not too bad. There were not many people when we arrived in the morning, there was a wedding photo shoot going on.  Nice view and I am glad we decided to come here instead of Tangkuban Perahu which is more of a tourist…","Normally, I take reviews on tripadvisor that give terrible reviews of a place with a pinch of salt, but in this case, I wish I had take these reviewers' advice. Trust me when I say this place is a huge rip-off. Sure, it's nice. How much would I pay to enter? Max. 5.000IDR. Yet…","a huge place (+/- 45 ha) with various small theme parks, have 3 resto inside (purbasari, burangrang, and pasar safari) . we took purbasari resto, great place for relaxing. only have 12 private tents for lunch or dine. the only minus point is the price, the serve in package with…","For group visitors, reservations is recommended, so the staff can arrange many pleasant attractions and give more attention, also they offer meals and gift better for accompanying great moments here","For group visitors, reservations is recommended, so the staff can arrange many pleasant attractions and give more attention, also they offer meals and gift better for accompanying great moments here","I like the food. But some food already cold. The staff really friendly. Fast check in. The problem only with the wifi. Because uts so hard to get signal, i only can depend on the wifi. But the wifi is not really fast.","During our supposed to be three days stay, which ended in a runaway after two creepy nights, we could experience way too many creepy things, such as: old building, worn out furniture, dirty bathroom, creepy bathtub mat, yellow, stinky water pouring from the bathroom tubes, worn out towels, dirty pool full of people swimming in their pijamas, room was not sound proofed at all, so we heard kids whining, running, doors banging, people talking loudly in the corridors, kids shouting in the lobby while the poor piano player kept playing on, loud groups of people gathering for marriage parties, filthy breakfast room, no food refills, stained glasses and cups, poor and extremely overpriced room service, slow and over crowded elevators, poor customer care from the staff, slow response to…",Its location with trans mall bandung area. The services and facilities are good and comfortable also don’t forget to visit The 18th to enjoy city of bandung while enjoying your food/beverages in morning or evening. 
The white crater looks surreal. I was taken aback by the color of the sulphur in the crater and the sulphuric foam that was coming out of it. It is really worth a visit. Just make sure to bring a mask because sulphur smell is strong.,"The scenery of Tangkuban Perahu is beautyful, especially the Ratu crater.  As a foreigner you have to pay 200K and locals pay 20K. In the weekend you pay 300K as a foreigner.  The drawback, during the week: the hawkers, who sometimes follow you all the time like a shawdow, to…",Good view..they allow to bring dogs but not to enter the restaurant...they have play yard and it was spaciouse...the culinary was also good with may options traditional and western..we were happy,"It was fascinating to see these traditional Indonesian bamboo musical instruments (Anklung) at this studio which is still run by the son of the founder & provides musical education to young people. They put on a wonderful show with a puppet demonstration, traditional dance &…","It was fascinating to see these traditional Indonesian bamboo musical instruments (Anklung) at this studio which is still run by the son of the founder & provides musical education to young people. They put on a wonderful show with a puppet demonstration, traditional dance &…","Near big mall Paskal 23 , good service , complete facilities , easy transportation , good and delicious breakfast , friendly , big room , so many restourant near the hotel , many spots instagram mabel","Room facilty is good, swimming pool with max 1,7 mtrs depth is nice but breakfast is not recommended (need to improve), parking space is small and difficult to access, hotel lift is small and does not reach basement area.","Great place for short escape, next to the mall, totally luxurious amenities inside the room, a lot variety breakfast menu and friendly staffs.. but we had a bad experience upon arrival, we waited for more than an hour until our room ready, and we don’t recommend the pool and kids club,too crowd in weekend. "
" from the parking area / counter tickets, we ride the vehicle they provide for the visitors, at the last stop, we walk to the white crater by climbing the stairs down to the crater, the crater area, high cliffs, thick enough fog, the scenery is amazing , btw use a mask to cover…",Not beautiful unlike many others volcanoes in Indonesia  I still don't get it.. why do foreigners have to pay 10 times more than Indonesians?  Too commercialized. U better have a ride a few kilometer further and enjoy a walk in the tea gardens (for free).,"Dusun Bamboo located at the feet of Mountain Burangrang Limbang, Bandung. Ticket price is 25,000 IDR.   They will give a coupon where you can exchange to Mineral Water upon exiting the park.  There will have a shutter van for you from the ticket counter to the main entrance. …",Love to be here. Good vibes. And here we can learn how to play angklung. And we can see how the angklungs were made. ,Love to be here. Good vibes. And here we can learn how to play angklung. And we can see how the angklungs were made. ,"Colorful ! Instagram able ! Clean room and so homey ! I think u have much spot for photos, actually for selfies . Lol ! Overall its was NICE ! Thank u and GOOD LUCK YELLO ! See you again on another trip !","It was great experience during stay in Hotel Aryaduta Bandung. The strategic location in Bandung, the rooms was comfortable and clean also the breakfast was lots of choice and good. Thank you for your kind service.","I reserved 2 (two) rooms for 1 night on 20 Apr - 21 Apr 2019. It was all good but that was until I left my jewelry (gold necklace) on the bathroom sink. I checked out at 21 Apr and just found out that I left the necklace on the next day. I made a call and report to the front desk staff to check on it, they contacted the Lost & Found department but the result was negative. I’m pretty sure it was there, on the bathroom sink. I know it’s my bad for not taking care of my own belonging but to recall that Trans Luxury is a 5 stars hotel, I was quite upset to hear what their staff said, “We couldn’t find anything, we have checked with the duty staff and the result was negative. At the same day you check out, the room was also occupied by the next guest” - for me this is completely non…"
"The smell of sulfur at certain areas can be a overwhelming, you'll feel like coughing. There is a route for hiking that not many people take near the parking area. The viewing area along the hike looking down to the crater is very beautiful. On the way you'll also pass by a tea…","Although the crater is indeed beautiful but the attraction has been too commercialized up to a point where it is discouraging to visit.  Entrance fee is priced at IDR300,000 for tourists (weekend rate) - 10 times more expensive than locals. There are 3 craters within vicinity…","Me and my family enjoy it here. The ticket Rp.25k for adult and child's ( up to 140cm). Not much we do that time because of rain <U+0001F60F>.   We have our lunch in Lutung kasarung. The ambien really nice feel like a bird, we need to pay this place Rp.50k for weekday and Rp.100k for…","Great place to see culture and traditional music. They shows us traditional dance, traditional puppets, and traditional music","Great place to see culture and traditional music. They shows us traditional dance, traditional puppets, and traditional music","Awesome Hotel. Very good bargain. The room condition are perfect. The breakfast was awesome, the spread are good and everything was refilled fast enough. All the staff are very helpful and friendly. Definitely will recommend this hotel to others.","Excellent service, nice & clean room. It's a good place for children also. It's located in the middle of town. The staffs are helpful & friendly. Should be recommend for our next visit to Bandung. The kids love this place so much. ","It was really great and always great stayed at trans luxury hotel. I booked celebrity suite and premier room with connecting door. The rooms were very comfortable, clean and spacious. The pool was so awesome, they have pool with sand so its very safe for kids."
"Located in Cidwey, Bandung. You need to hire a driver to get there. Upon reaching the carpark, you will be asked to transfer to an orange van thingy which will bring you up to the crater.  Beautiful view with bluish/greenish water, white crater rim and dead tree branches giving…","Visited this place on 28 May, it is very beautiful and breathtaking to enjoy the view.   The price difference for local and for foreigner is a lot. For local (Domestic) you will need to pay IDR20,000 (SGD 2), For foreigner you will need to pay IDR200,000 (SGD 20) which is 10x…","I was coming here directly after landed at Husein Sastranegara airport.. It took about 45-60 minutes from airport. When I came here, it had just been opened.  First impression of this place is ""green and cool"". You have to walk through the mini fields then bamboos trees…",WOW! I have never failed to visit this cultural heritage village every time I have visited Bandung and that's been 3 times.  It never fails to fascinate me that it is such a beautiful window into something so heartwarming as to see the descendants of the founder and young people…,WOW! I have never failed to visit this cultural heritage village every time I have visited Bandung and that's been 3 times.  It never fails to fascinate me that it is such a beautiful window into something so heartwarming as to see the descendants of the founder and young people…,Nice Facilities Great Ambience One step to Hits Paskal Mall and Near to Kuliner area like Sudirman Food Street Market sure i will back to Yello Hotel Paskal and will recommend this hotel to family and friends,"Nice hotel and good inveromental. Good hospitality staff, this is location near by restaurant and mall.  Swiming pool and restaurant at pool good. Breakfast menu it's good with traditional food like mie bakso.  ","NIce Palace to stay in Bandung, staff very kind and helpful, food variety and delicious,room and bathroom very clean and smell is good..near mall and trans studio.. one day will back again  with my family.. "
"One of the top attractions in Bandung. Looks surreal from certain spots, especially with dead tree branches surrounding it. Would make for wonderful postcards :)  Slightly chilly in the area. Mild sulphuric stench deeper in. Entrance fees differs between locals & tourists. You…","Tangkuban Perahu is indeed one of many beautiful places to visit in Bandung; an active volcano, cool breeze and magnificent view.   All-in-all, it’s worth to visit once for the experience but there is a price tag to it. Foreigners will need to pay an entrance fee of IDR300,000…",Does the food halal for Muslims? Do you serve pork? Our children would love to play there /stay at your resorts. We would like to go there next year. Thanks. ,I saw this show as solo Travellers earlier and this time wanted my family to visit this amazing presentation.  Getting tickets were easy at the counter (no booking required in advance)   The event started on time. Intro and start was little slow but later part was interesting…,I saw this show as solo Travellers earlier and this time wanted my family to visit this amazing presentation.  Getting tickets were easy at the counter (no booking required in advance)   The event started on time. Intro and start was little slow but later part was interesting…,"value for money. good location. good cleanliness. friendly employees. nice rooms. surrounded by many culinary spot, street food and restaurant. near Kartika Sari (snacks and cakes). near train station. overall is great.","The best short business trip, very comfortable. The location is very strategic. I got an upgrade to an executive room even though I only stayed one night.  All service is very helpful. I will come back for a longer stay.","Very fast and smoothly to check in. the staff help me to early check in. they provide a lot of stuff such as cookies, peanuts, welcome drink, fruit,news paper as complimentary. the pool was great with nice and white sandy like a real beaches, has a slide even the slide a bit stuck. the pool comes with warm water.so you will not getting cold.higly recommended hotel for weekend getaway. "
Nice place to visit especially you are a nature lover. Up there can be quite chilly approximately 17C to 20C so remember to bring light jacket.   Huge difference for entrance fee for local and foreigner.   Need to hire a tour to go there.  Highly recommended to visit.,Locals and tourists pay different prices for the entrance tickets  There are so many touts selling souvenirs there. They are very persistent and follow you up to the top  even though they are not supposed to  The top of the hike isn’t high at all. It is cool but wearing a…,Very great view with lots of activities for kids. The place is very pretty and it's got a restaurant where you can eat in a circular tree house which is very scenic and soothing. There is a large flower garden and really beautiful view from above. There is a tour car that takes…,"Attended a show on Sunday, May 13, with friends from Bandung. I attended a show here in 2014, and wanted to see the show again. Great cultural experience for both the locals and tourists. Show second time around was good, but did not feature the talents of one amazing boy who…","Attended a show on Sunday, May 13, with friends from Bandung. I attended a show here in 2014, and wanted to see the show again. Great cultural experience for both the locals and tourists. Show second time around was good, but did not feature the talents of one amazing boy who…",Ac not cold though set in 18 degree Hv called the housekeeping they only increased the fan.  Took the smoking floor since thats the only floor where we can get 2 rooms next to each other and both rooms with single twin beds which were difficult when you sleep with kids. Though we have requested adjoon rooms when booked the hotel earlier.   Bedsheet got several holes caused of cigarerrette burned.  Breakfast ok.  Pool will be better if can provide warm water specially for kids since Bandung quiete chill in the morning.,"I stayed in double Queen size bedroom with L shape huge couch. Excellent service from all level staffs. I would recommend anyone who is visiting Bandung to try out this hotel, no regrets at all. Best hotel n location.","The Trans Luxury Hotel , Magnificient decoration . Huge room and beautifull decorated . Luxury amenities. Service is procedural can be better with experience perhaps . Amazing building . And great value   "
Located in cidiwey bandung. you can hire a driver/supir to bring you here. there are entrance fees and payment must be made before you reach white crater. ,"with a height of more than 1800 above sea level, located at the top of this mountain lies a huge crater due to the eruption of Sunda volcano hundreds of years ago, with all the myths above the long story, strong sulfur smell is felt when you arrive, 25 minutes from the area…","Dusun Bambu is one of many attractions in Lembang up on the mountainside. Thwe land area is pretty big and there is a small lake where you can ride in a boat, a nice restaurant where you can eat nicely presented but normal tasting local Sundanese food, and gift shop that also…","Saung Angklung Udjo had put up a very colourful and entertaining show. The Master of Ceremony (emcee) is telented & beautiful. The show started with an Indonesian doll show and back-up by a Gamelan troups. Then, a group of young Indonesian dance the 'kuda kepang', 'tarian merak'…","Saung Angklung Udjo had put up a very colourful and entertaining show. The Master of Ceremony (emcee) is telented & beautiful. The show started with an Indonesian doll show and back-up by a Gamelan troups. Then, a group of young Indonesian dance the 'kuda kepang', 'tarian merak'…","It's a cozy hotel. The room is simple yet spacious (for me). Sofa bed is avalaible with cushions. The room facilities are all good, yet they need to upgrade the AC (quite hot tho). No minibar. The food and beverages... I can' tell you guys 'coz I didn't try it. Good service and hospitality! Keep it up!  One step to Paskal23 Mall and Food Market. Those who like shopping and culinary, it's a recommended hotel. ",It was such a lovely staying to be in Aryaduta. The room was clean and the staff were really great. The location is also great beside the mall and near many of the outlet stores . Parking is also available ,"Trans has met my expectation for their great services during my stay.  It exceeded mine for their cleanliness,  quit and comfortable,  and their activities in the kids club area and pool..  The lifeguard and other employee  is doing job properly. The room is spacious and comfort.   This hotel is memorable for my kids during stay for their hot water pool,  mini beach,  the slide and mini waterfall and lots of game on their kids club.  The 18th lounge is good and may be will be more cozy if there weren't to crowd when we got there.  The  restaurant was a bit hectic and crowd during my stay but they had wide range of good food from local,  japan,  western and many more. "
"The journey from Zest Hotel to Kawah Putih was about 1 hour 40 mins. We reached at 10:10am.   We came here last Friday and because it was Ramadan with very low visitors, our driver advised that he should drive up to Kawah Putih. There were not many visitors so it is not…","We came here during Ramadan month on Thursday. We left our hotel at 9:45am and reached here at 10:50am. Left at 11:25am. We just stayed at the main crater. Probably, there were less than 10groups during our visit, mainly because it was during the fasting period.   You will be…","Nice place to visit with family and many choiches of food stall, price range starting from 35.000. If you want to go to restaurant Tepi Sawah they will be charge 650.000 for 6 person eventhough we only 3 person, but don't expect the hospitality service in here","Go to Saung Udjo Bandung is really good choice... it could be aducated your children about Angklung and Sundanesse history. We can sing, play and see follow the intruction in SU. So... go there!  ","Go to Saung Udjo Bandung is really good choice... it could be aducated your children about Angklung and Sundanesse history. We can sing, play and see follow the intruction in SU. So... go there!  ","Staffs are helpful and friendly, always greet when meet. Room was clean and yellow bright, have various TV channel selection. Easy check in and check out process. Asking for hair dryer and ironing, sent to room right away. ",this hotel is located at the city so close to Balaikota Bandung and also famous mall BIP. The room (where I stayed) is so spacious with a bathtub in the bathroom. I was experiencing a good service from the staffs and also good food.,"it was a memorable stay in this hotel, from the arrival till departure. the cleanliness of this hotel, bigger room rather than the others, and the technology also very nice. looking forward to stay in this hotel if i get another chances."
"repeatedly coming there but I never get bored with this place, the smell of sulfur and cold air has always been a special thing, although the road to get there is still not good","1st time there with my bf, amazed by the view but we were targeted by the local people as they followed us all way and at 1 place they forced us to buy souvenirs like keychain, fridge magnet and all sorts of things. We offered them some money to chase them away but no vain,end…","Clean and beutiful. Great place to relax. I took many good photos here. Just hope the weather is nice when you go there, or else, it will be cold and too gloomy to take photos.  The food was pricey with so so taste.","The best part of my visit here was when they involved the audience in the performance. :)  They have several performances, but clearly the best one was at the end when they taught the audience how to play angklung. It was just so fun. The first few performances pale in…","The best part of my visit here was when they involved the audience in the performance. :)  They have several performances, but clearly the best one was at the end when they taught the audience how to play angklung. It was just so fun. The first few performances pale in…","The things that unforgettable is the atmosphere, ambience, and the breakfast. I guess next time i will visit YELLO again, maybe for couple of days to enjoy the facilities. I need more exploring YELLO to know more.","Good location, good and a lot of variant food for breakfast, room was clean and comfortable, friendly staff. Actually we have booked two Deluxe Rooms but there was some misunderstanding, so our rooms were upgraded to Suite rooms. I recommend this hotel for business and family trip","what a great experience, great room and pool. love the breakfast.  But the bathrobe is smelly  (perhaps the staff doesn't change it). The pool is not clean enough. i see other guest spit in the pool but the staff doesn't aware with it."
Loved this picturesque crater lake. The weather is also nice for a walk around the area. Better bring/purchase a mask to protect yourself from the fumes.,"I found this trip a little disappointing. It was also  expensive as apart from the cost of a guided tour, the entrance fee was 340,000 IDN. From the minute we arrived we were pestered with touts selling tourist tat. And after 10 minutes looking at the crater and the distant…","Just passed by and had a drink while enjoying the cooling weather. Entrance fees RP25,000 per head (including a bottle of mineral water), Parking RP15,000. The park has restaurant, accommodations and place for a walk around the lake. I reached in the evening so didn’t managed to…",There is only one cultural show compared to this one; Kecak dance in Bali.   The distance from central city is really worth by what you will get on the place. Visitors will be treated by great performance there; from puppet show (wayang golek) to orchestra show of angklung…,There is only one cultural show compared to this one; Kecak dance in Bali.   The distance from central city is really worth by what you will get on the place. Visitors will be treated by great performance there; from puppet show (wayang golek) to orchestra show of angklung…,"I really enjoy staying at this hotel. The location is perfect if you need to rest while shopping. The room is comfortable, but for some reason I can't sleep well. Breakfast is good and has many varieties. I'll visit again soon.","Very good service and convenient,we enjoyed our holiday , we will come a gain, our children's very happy can played in playground, the breakfast delicious and many varians menu, we can going to mall Bandung indah plasa by walking, very interesting","Overall experience was fantastic. However, there are some noise at night (I don't dare to judge, but from what I can hear was the sound of couple making love, if I'm not wrong) I can hear the sound from around bathroom at room 1702. The bed sheets are quite dirty on the first day of my 2 nights stay & there are little bucks on it. If the sound prove & bed sheet cleanliness can be improved, I will be back definitely for more somewhere in the future."
