Besakih,Sacred,Kuta,Mount,Aling,Grandmas,Amnaya,Radisson
Managed to at last make a visit to the Mother Temple after countless visits to Bali. It was a huge complex which houses different temples. There were shops selling souvenirs and foodstalls dotting the road from the ticket booth up to the temple.  Contrary to the many bad…,This was part of our sight seeing tour and was definitely worth the visit. Definitely fun and something out of the norm,"Walked the 1.6km along the beach from our hotel to Ku De Ta for New Year and back again at night.  Beach has a nice atmosphere, lots of places to stoo and some powerful waves.  Yes it's not the cleanest but it's in a very busy city!! If you want a completely clean beach then go…",There are multiple tour stands around Ubud. We payed a decent amount and from the time we were picked up to the time we were dropped off there was little to no direction. We were in an over crowded van and our group was pretty cranky. Maybe because it was so early in the…,Bali is known for its waterfalls and Aling aling is one of the best. watch out for the cliff jumpers. ,"The location is great - nearby to shops, eateries and beach is about 15 minutes walk.   Pros: Clean sheets, clean bathroom, good breakfast, you can choose a hot meal aside from all the other usual items - cereal, juice, coffee, eggs, 1 or 2 fried dishes.   Cons: Rooms smell musty even after opening the windows. Some improvement on the ventilation definately required here.   ","From  all the hotels in Bali that was the newest. ( I stayed january 2020). It is on budged. The breakfast was a la carte, good choices. coffee was good too which in Bali for European people is difficult to find  nice coffee. I used thw app Grab for food delivery as i wanted to eat at my hotel pizza etc. (Indonesian food wasnt my taste).","Everything is perfect except the view over ocean, which is very limited. Very friendly staff. Perfectly clean. Breakfast should be improved with additional choice of fruits. Access to the beach is a challenge!"
we had so much fun shooting and exploring this place! it was worth every penny and we learned alot from our tour guide as well ,"Absolutely loved the Monkey Forest! Had read a ton of reviews saying it was a scam and it was pretty lame but I literally had the time of my life! So so so many monkeys of all sizes everywhere, some friendly and some scary! We walked around for about 4 hours without getting…",The beach and water is very dirty. There are many surfing boards for rent where you can also leave your belongings. It's a nice place for your first surfing in terms of the waves and sand.,"Do not be put off by some of the reviews!  My partner and I did the sunrise trek to the top with a pre-booked guide from our villa. We are in our early twenties, with a pretty good level of fitness. We didn't find it a hard trek fitness-wise but a more technical trek where you…","If you like to push you adrenaline, this is the best place to visit, a beautiful view make a good vibe","clean ,, near  the  shops  beach ,restaurants  ,.  the  staff  the  best  the  room  is  small  but  perfect  hot water  good  wifi    the  breakfest  its  like  a  lunch  , no  smoking  rooms    and  the environment is quiet  if  a  want  a  room   cheap  this  is  a choice  teramakasi      suputra, wiohi,ita, komang, yoshi,lita, meika,yudi,dedi maria , yudiari,surya, lesmana","Only just opened when we stayed - working hard to impress. Staff wonderful, rooms luxurious and food off the scale - best breakfast I’ve ever eaten with not a grid egg in sight! Utter bliss in the spa suite - choice of massage treatments with choice of oils and choice of teas. Probably best hotel in my experience and unbelievably cheap - though I think this will change. Beach not as lovely as Sanur. Busier than Sanur and more commercialised.",The hotel location is peaceful and quiet unlike the busy road and noises along Kuta area. The scenery is simply amazing and breathtaking with the view of the Indian Ocean. The room is very spacious and comfortable. Highly recommended to stay at this hotel. 
"We buy our ticket that cost 60.000rupias and it’s says that includes the sarom and the local guided, but don’t believe this because after they will charge you for the guide !!! The temple wasn’t that great, we had visit nicer ones in Bali, and the people inside the temple like…","A very pleasant few hours spent here. Beware though, these monkeys will steal anything, they can unzip backpacks, will take glasses, hats etc. Don't make yourself a target. Saying that, most will leave you alone, especially if you have nothing worth taking.","kuta beach is one of the best beach for surfing or just walking along  ,has   one of the best places to see the sunset also .u want to just sit and have a beer on the beach or just relax  and have a beach massage  is also great to have ..nice beach area to have lunch or dinner…","Too many people and at times very dangerous. Very difficult climb, in the dark. People slipping and you're climbing one after the next in a crazy long crowd.",Almost secretly located in the forest. Decending with our guide down the steep stairs you could hear the water from the waterfall pounding down. It was fun jumping in the water and going from the slides. For us it was enough just the first two jumps. Real adrenaline junkies can…,"I enjoyd my stay at grandsmas alot, polite staff with big smiles, artistic paintings and beutiful plants all over hotel made the feeling very plesent.  Special thanks to: Hendy, Ara, Meilca, Lita and Ngurah Putra!  <U+0001F64F>  Suksma","This was the best hotel we stayed at in Bali, based on quality that exceeded the price, warm homelike atmosphere and facilities to satisfy any healing needs.  Everything is so well thought: every table at the cozy reading corner, the peaceful restaurant where you can enjoy the breeze & study in the afternoon, the beautiful yoga nest where you can stretch & unwind at sunset, BEAUTIFUL tanning place at the pool and perfectly blended colours & Balinese architecture that caress your eye, and the true, genuine hospitality! Oh and comfortable bedding. The intuitive service where you get the lights on right when you can't read anymore because of the dawn, without asking anyone. We haven't met the person who created this property, but we could feel he/she is an amazing person, the feeling you get by living there is incredible. Heartfelt Thank you to the entire team of Amnaya both who we met and who are on the backstage, a few to name: Ceri, Yulius, Ilun, Gisin, Arik, Eka, Adi<U+2764><U+FE0F>, Yande, Gilang, Wijaya, Sri, Yudi, Rigan, Agus, all the amazing public area attendants who sweep the flowers in the garden and of-course the White Pus. <U+0001F90D>    We hope to come back to that amazing heartwarming place! THANK YOU. Maria…","Very good hotel to relax, need shuttle to go to better beaches, some nice restaurants nearby, Very quit in the evening, not much to do in the hotel, good for family & children, very good and healthy breakfast"
"I have visited the Besakih temple again after 40 (!) years and still find it amazing. Peace, harmony and spirits are unchanged. Temples well maintained from the money we tourist pay. I love how people redo multilayer roofs. I listen to my guide and buy postcards from the…","The monkey forrest was walking distance to our hotel so we decided to give it a go. The entrance fee is quite reasonable. The nature in the forrest is beautiful, and it was fun to see the monkeys doing their tricks. I did not enjoy some tourists clearly breaking the rules and…","I had been to Fiji, Cook Island, Vanuatu and Phuket in recent year, finally we will take a holiday in Bali, which is very famous, it was turn out our worst holiday ever, because Xmas is a high season, after landed in Bali airport, usually time to travel is about 30 mins from…","We woke up at 1.30 in the morning and arrived there at about 3.30 . It is about 2,5 hours to get on the top, there are many people and it gets overcrowded . It is not the easiest trek mainly due to the fact that are many people going up at this particular time for the sunrise…","If you catch up with the Darwis trekking guide community in upper Sambangan village, they can give you ootions of ahort, medium or long trekking.   The whole area lends itself to walking and exploring. Terraced ricefields are just up the hill and make a great start point for an…","Got this incredible offer from booking.com and chose to Stay for 1 night before moving to a private villa. The staff are very friendly, Strategic location, comfortable room and a cheap buffet!What more can you ask for!","Very nice hotel, on good location, nice breakfast. Checkin was a bit problem, but the service after that was excellent. Most of the staff are very polite and always try to make the best. Breakfast was included our roomrate, its really big and fresh.  Will come back again ! ",We came over from Nusa Dua to the radisson blue at ulluwatu its been nice but little things that other hotels do they don't for instance down at the pool for a swim one towel is aloud no cushions on chairs very uncomfortable couldn't get napkins at the restaurant just little things that were wrong ate at the Italian restaurant very nice food would go back there Look its an ok place but stayed at better ones
"Besakih Temple or the Mother Temple is the biggest Hindu temple in Bali. It is located at the foot of Mount Agung.  I visited during the Bali Galungan, the period celebrating the victory of dharma over adharma.  The site is a sacred place hence wearing the sarong is a…","Fun to check out the monkeys who were cute, as long as you left them on their own. Great to have been there to experience it. Awesome family activity!","Well, the ocean is the ocean but when ther is to much garbage, not so well. Also, allot of ambulant sellers that anoing you every 2min!  Surf is ok for beginners and the prices are decent.","Very crowded and a challenging trek! We started off meeting our tour guide. She was lovely and helped us all the way through. When you get to the top, the views are amazing. There are hundreds of people trying to get to the top. It's chaos & pitch black at the beginning with…","Yes, it is real fun and the surrounding is beautiful as pretty much all jungles and waterfalls across the entire island. You can go there just to visit the place, admire the beauty of the nature, take some pictures and go, no one can and should force you to do anything extreme.…","With such centrally located position in Legian and cheap prices, I don't expect much from this hotel. But Grandmas turned out to be beating my expectation. The room is just wide enough, it has nice garden set-up, the shower is working well, amenities are adequate, bed is clean and comfortable with four pillows, the staffs are very helpful, and each room has a refrigerator in it. The downside is probably it has limited space so that it has no swimming pool nor car-park.","I have lived in Bali for a while and visited various hotels and resorts, and Amnaya is far beyond any place that I have stayed here, or even anywhere else.  The hotel is beautfully designed, the rooms are immaculately clean, the staff are extremely courteous and helpful, the included breakfast is the best that I have ever had at a hotel, and the value for money is incredible. On top of that they upgraded our room for free. This truly is the best place I think I have ever stayed at.  It is usually not too difficult to find flaws in hotel in Bali. My partner has a keen eye for dirt and an even keener nose for damp and other smells, and this is the first place we've ever stayed that is truly flawless. I take my hat off to the staff and management here for keeping the place so beautiful and clean.  I am never motivated to write review for hotels, but Amnaya Benoa is just so good that I felt compelled to. I look forward to visiting here again!…","The radisson Blu is a vey nice hotel with very spacious rooms, that feel new/refurbished. The pool area is het excellent with many options in terms of beds. gym is well equipped with new fitness equipment.  The breakfast buffet is a bit of a let down. While there are quite some options available at first sight, there is not that many options of you don’t prefer warm/cooked breakfast. Buffet is the same all days. Restaurants on site are okay but not really great. Room for improvement. "
"We had a great day when visiting besakih temple, it so amazing temple architecture complex, and majestic pagoda of the temple, and we also can be show others part of island with green side and show of active volcano in back of temple","A 20min walk from Ubud centre. Wonderful experience, so glad I went. Obey the rules and you will be just fine.  Highly recommend you don't wear sunnys, hat etc. I watched 2 pairs of sunnys get taken, a bottle of orange juice from  lady's open bag and a cliff bar from bag. Was …","Nice sunset beach when clouds allow...  lots of people, mostly fully clothed, but still interesting people watching","We booked the trip as a group of 4 who all have a high fitness level, we managed it but there was no advice on the physical demands that are expected and the route down was quite challenging.  We also thought it would be a handful of groups going up the mountain at 3am instead…","Visited this waterfall yesterday with my husband. We opted to not swim for two reasons: it cost more to swim rather than just visit, and second reason was we had a very busy day the day before our visit and were a little tired.  Getting down to the waterfall was fairly easy, as…","The location is really nice in the centre of Legian and beach also walking distance. The staff very friendly and treat us like a family. Yoga the hotel manager always ask our stay to make sure everything is fine, Hendy, Ana, Mirah also nice and very helpfull. Very recommended hotel and we would back again.","From  all the hotels in Bali that was the newest. ( I stayed january 2020). It is on budged. The breakfast was a la carte, good choices. coffee was good too which in Bali for European people is difficult to find  nice coffee. I used thw app Grab for food delivery as i wanted to eat at my hotel pizza etc. (Indonesian food wasnt my taste).","The most wonderful place to relax with a stunning pool, excellent spa, beautiful food at two restaurants and a relaxed, quiet ambience. The luxury escapes offer made our stay incredible value for money. "
"Your grab car pulls in after a 3 hour ride..immediately ""sarong-woman"" springs into action ready and willing to sell you a sarong for 500 rp !!! Then, fully saronged you head up to the temple only to find a mob blocking your way and guiding you back to the ticket office.…","It was nice to observe the monkeys in their natural habitat, at the same time rather sad that most of the forest around them has disappeared,","Beach is clean, comfortable and safe.. we have wider options of relaxing with drinks and music with great options of food. You can chill out for full day. Beautiful location and nice view. It's must try at anytime during day or evening.","Pros: if you make it for the sunrise, it is truly spectacular. The views are amazing if you are lucky enough to get a cloudless day.  Cons: this is not a ""trek"". The first half of the walk is up a road that cars can drive up. The second half is actually up the mountain. It is…","Your own guide included to the price, letting you swim, jump from cliffs (5, 10, 15 meters), feel the paradise of the nature. There is a natural waterfall slide - Incredible time.  Probably the best attraction from all!","i love to stay here. the location is close to everything. Rooms are clean and big enough. you get everything you need in here. but the thing i love the most is the staff. So polite, so friendly, so helpful. Especially miss Anggi, we like her very much. hopefully we will come back again one day.","Only just opened when we stayed - working hard to impress. Staff wonderful, rooms luxurious and food off the scale - best breakfast I’ve ever eaten with not a grid egg in sight! Utter bliss in the spa suite - choice of massage treatments with choice of oils and choice of teas. Probably best hotel in my experience and unbelievably cheap - though I think this will change. Beach not as lovely as Sanur. Busier than Sanur and more commercialised.","I was Very satisfied with my experience here. It was clean, comfortable, and very accessible to everything in Uluwattu. I would say I chose the right place for my trip in Uluwattu. The pool was also very relaxing and beautiful."
"Beautiful Area.  Very expensive ticket that includes sarong, ride to the temple by motor bike.  We used bike but no one came to get us back, so we walked.  It is not that far to walk, maybe good for older people.  We had to go with a guide and he wanted 10 US$ tip!!  We gave 5. …","The statues are amazing. The monkey's are a unique experience. Remember these are wild animals, respect their space. Ask questions and keep an open mind.","Unfortunately, the beach that was once beautiful is now ruined by copious amounts of rubbish.  There is sometimes people cleaning the beach but unfortunately not often enough. It ruins an otherwise picturesque place. ","There are literally hundred of people ""climbing"" the mountain. It's ridiculous that you need a guide to go up there. It's very very easy. Mass tourism and mafia. Definitely a one time experience for me.","Visiting the Aling Aling Waterfalls was a highlight for me as I enjoy a lot jumping from cliffs. The water temperature was very pleasant and the scenery one of a kind. The 3 different waterfalls of different heights (around 5, 10 & 16 meters) allowed me to jump straight into the…","ok, the room is a bit small, but this hotel is a nice place to stay. The price is very affordable and they offer great service. The room and shower/toilet room are really clean. The mattress, pillow, and blanket are comfortable. Though the room is small but it has everything we need. Minibar, kettle, good wifi, plenty of tv channel options. Aircon works perfectly. Buffet breakfast is very nice. All of the staff are so helpful and friendly. Once we left our rented car to be picked up by the owner who came late ( we had to leave to catch the plane), the security man called us just to let us know that the car had been collected so we didn’t need to worry. The location is great too, walk distance to Legian Beach, ATMs only two doors down, 24 hours Coco express across the road, nice…","This was the best hotel we stayed at in Bali, based on quality that exceeded the price, warm homelike atmosphere and facilities to satisfy any healing needs.  Everything is so well thought: every table at the cozy reading corner, the peaceful restaurant where you can enjoy the breeze & study in the afternoon, the beautiful yoga nest where you can stretch & unwind at sunset, BEAUTIFUL tanning place at the pool and perfectly blended colours & Balinese architecture that caress your eye, and the true, genuine hospitality! Oh and comfortable bedding. The intuitive service where you get the lights on right when you can't read anymore because of the dawn, without asking anyone. We haven't met the person who created this property, but we could feel he/she is an amazing person, the feeling you get by living there is incredible. Heartfelt Thank you to the entire team of Amnaya both who we met and who are on the backstage, a few to name: Ceri, Yulius, Ilun, Gisin, Arik, Eka, Adi<U+2764><U+FE0F>, Yande, Gilang, Wijaya, Sri, Yudi, Rigan, Agus, all the amazing public area attendants who sweep the flowers in the garden and of-course the White Pus. <U+0001F90D>    We hope to come back to that amazing heartwarming place! THANK YOU. Maria…",Nicest hotel I have ever had the chance to stay in. Staff were amazing and went above and beyond for every guest. The rooms were spacious and modern. The breakfast buffet was incredible - there was even a donut wall!! I will definitely be returning on my next trip to Bali. Thanks for a great stay!
In all my years of going to bali this was the first time I had ever been to Besakih Temple. We were lucky enough to go with my Balinese family to the temple so we got to go into their family temple to lay offerings and pray which was very special then afterwards we walked…,"I wasn't at all interested in visiting the Sacred Monkey Forest Sanctuary, but I sure am glad I did. We spent a delightful few hours wandering among the beautifully maintained shady trees and temple buildings, watching the monkeys' antics. Not one bit of bad or aggressive…",I must admit I was a bit disappointed. The beach was very dirty. The traders along the beach were friendly and not pushy at all. Was nice for a walk but not a swim,Quite daring  at first level but once you reach on the top all tiredness change to happiness . Its that Ahaa!!! moment,"The waterfall was so high and the water very cold, but don't ask about the view because it's very beautiful.","I have been travelling to Bali many times in the past 5 years and have stayed at many places. Last month I discovered Grandma's Legian and have been back for 3 stays since then!   The location is close to everything -- restaurants, shopping, the beach. Rooms are clean. Wifi is fast and works all over the hotel. Showers are hot with great water pressure. A/C works perfectly - whether you want it super cold or not at all, it's easty to control. Beds are comfortable and the pillows.....amazing!! I wish i could stuff one in my bag to take to other hotels!   But best of all is the staff. So friendly, so polite, so helpful and very attentive! You will immediately feel welcome by the front desk staff and they are there to answer questions or give advice throughout your stay. (Special…","Very nice hotel, on good location, nice breakfast. Checkin was a bit problem, but the service after that was excellent. Most of the staff are very polite and always try to make the best. Breakfast was included our roomrate, its really big and fresh.  Will come back again ! ","I extended my trip after attending a conference nearby. Travelling solo can sometimes be intimidating however I felt right at home at the Radisson Blu. A beautiful setting, peaceful location. Great pool area with ample shade and lounges.  Lovely poolside juice bar and an all day dining restaurant on the other side of the pool. 3-4 dining options within the resort providing you choice. Good food! The breakfast buffet is ample.  Lovely day spa with hospitable staff. Reasonable prices. I opted for the 2.5hr escape which cost about AUD170. Not cheap by Bali standards but good value.  Extremely spacious rooms. Beautiful walk in shower with rain head, separate bathtub. Night lighting to find your way to the bathroom during the night. Comfortable beds and pillows. Effective air…"
"Having been in Bali for 10 days, I traveled a lot of different places, met a lot of nice people, I got a very positive impression on this land and people.Since the Besakih Temple is the main and most important temple of Bali, I really wanted to visit it. My guide tried to…",It’s been always great to visit this special place! The guest should however remember that this is not a Nat Geo and respect the nature and monkeys (unless one is looking for troubles). ,It is quite a challenge to get to Kuta beach ... which is reasonably clean due to donated beach cleaning equipment.  The trick is to walk through the Central Mall.  Worth finding fir a cooling dip,"Hot springs in crater worth visiting. Entry to area 30,000 when you come from rice terraces. Mountain can be climbed with guide or in trip for sunrise views","this is awesome place, location is so sacred and far from the local house, the water is very clean, here you can see 4 waterfall (Aling-alling waterfall, kroya waterfall, Kembar/twin Waterfall, Pucuk waterfall) in one place and only one in Bali, beside see waterfall here you can…",The  hotel was amazing all staff were very friendly and I would definitely recommend  this place to any of my friends. The breakfast was amazing and the manager  saputra even took time out of his day to talk to us and see how we were doing!  Overall a great recommendation for anyone backpacking Bali!,"I have lived in Bali for a while and visited various hotels and resorts, and Amnaya is far beyond any place that I have stayed here, or even anywhere else.  The hotel is beautfully designed, the rooms are immaculately clean, the staff are extremely courteous and helpful, the included breakfast is the best that I have ever had at a hotel, and the value for money is incredible. On top of that they upgraded our room for free. This truly is the best place I think I have ever stayed at.  It is usually not too difficult to find flaws in hotel in Bali. My partner has a keen eye for dirt and an even keener nose for damp and other smells, and this is the first place we've ever stayed that is truly flawless. I take my hat off to the staff and management here for keeping the place so beautiful and clean.  I am never motivated to write review for hotels, but Amnaya Benoa is just so good that I felt compelled to. I look forward to visiting here again!…","I would definitely return to this hotel. It was clean, great pool and good food. I visited the spa with my wife to get a couples massage and enjoyed it. Great location with free shuttle to near by beach but also close enough to walk to nearby food and shopping. "
Maybe we were lucky. I read many reviews on here and most of them seemed to have a lot of trouble with being ripped off. We went there by car. The driver payed 5000 IDR for parking and told us in the car that we need to buy tickets at the office right outside the parking lot.…,if you have spare time visit this place otherwise here are more other better places to visit. the park is large with full of mischievous monkeys.,"Don’t brother coming to Kuta. Bali is a wonderful  place, enriched with genuine culture and traditions but it’s very disappointing that overrated tourist areas such as Kuta tarnish their cultural integrity. Kuta is a dangerous place, riddled with sleazy night clubs and crawling…","Waking up in the morning, 2 hours drive from Sanur, and then 1,5hrs hike up to the top of the active volcano to watch sunrise was all worth it. It is a advance hike as surface is partly sand, stones and ashes, however tour guides are amazing and many people (even bit older) made…",We had a guide who took us on the walk to the waterfalls. You need sturdy shoes as a bit slippery and you need to take your time. The waterfalls are absolutely beautiful and on one ledge you can take the leap of faith and jump in.,This is an awesome place to stay. Friendly staff and great service. There breakfast is fantastic you pick from a menu and they also have a Bali buffet. Fresh juice and fruits. My favorites were the Indonesian snacks. My girlfriend loved it and she’s a foodie. Great times. We will back.   Michael and June,"From  all the hotels in Bali that was the newest. ( I stayed january 2020). It is on budged. The breakfast was a la carte, good choices. coffee was good too which in Bali for European people is difficult to find  nice coffee. I used thw app Grab for food delivery as i wanted to eat at my hotel pizza etc. (Indonesian food wasnt my taste).",Great place and great location  Good o oi rice comparing with others but there is not view from the cliff what makes it not that special but overall it’s a great hotel I would strongly recommend this hotel 
"Besakih is the biggest temple in Bali so, in my opinion, a must see. On the way to the temple, my guide told me not to pay for anything offered outside the temple because the local people only do it, to take advantage from the tourists. So a few tips: if you get a ride by…","A lovely place to walk round and see monkeys hanging about and playing in teh park. They are free to roam around and are very interested in people and inquisitive of your belongings , so be careful. The park keepers ensure that the monkeys are well fed which keeps them attached…","Beach is not clean but it's flat and long. Traffic is a nightmare, traffic jam starts in the afternoon and stays till night. People are very helpful and friendly tough. There is lot of bargaining of price, as a rule start with 50%less and stop at 10%more. ","Paid IDR 350k per person, took us 1.5hour up, then 1 hour to hang around the breakfast place, another 1.5hour down. The view is nice enough but IDR 350k is quite expensive and since the peak was so congested we couldn't hang around as long as I would have liked.",Incredible views and a lot of fun. This experience allows you to see 4 waterfalls! You can even jump off the first 3 and slide down one of them. It was sooo much fun. The actual Aling-Aling waterfall is breath-taking. That is the last one you’ll see on your short walk but you…,"We stayed in grandmas legian for 3 days and on first day we had little bit complain because we want to have double bed but on that time they only have two single beds. The day after the hotel manager Yoga meet us in restaurant and he arrange to move us to double bed, it's really great. All the staff was really nice and friendly, they always ask us about out stay that they want to make sure everything is fine. Hendy and Dicky also nice and our room cleaner sanjaya and windu made surprised with towel decoration. They also put apology letter with green small teddy bear, it was amazing that they are really care with their guest. We will comeback for sure.","Only just opened when we stayed - working hard to impress. Staff wonderful, rooms luxurious and food off the scale - best breakfast I’ve ever eaten with not a grid egg in sight! Utter bliss in the spa suite - choice of massage treatments with choice of oils and choice of teas. Probably best hotel in my experience and unbelievably cheap - though I think this will change. Beach not as lovely as Sanur. Busier than Sanur and more commercialised.",Had a wonderful time. Kind staff clean room big spacious room w balcony. Restaurants were great. Beyond what we expected in Bali.  Would return again. Spa treatments were amazing and the space was lovely and relaxing. 
"Our driver dropped us in the parking lot.  Tickets 60,000 rupiah each.  You will be told you need to have a sarong (~70,000 rupiah, subject to your negotiation skills).  You can either take the ""scooter shuttle"" to the gate, or walk up the fairly steep paved drive (1 mile?)…",Back to nature woow it really beautiful place I see. Interested temple and surrounding. Lov it so much,Nice swimming but the water was a little dirty and the beach was filthy - lots of rubbish along waterline <U+2639><U+FE0F> Sunset across the water was spectacular !,If you are nature lover and love to see natural beauty from the peak of the mountain surrounded by clouds has unbelievable view. But for that you have to trek so hard if you are weak at there than it cant be in your list.,"If you visit the nearest temple Pura Ulun Danu Batur, you must definitely visit aling aling waterfall, one of the most amazing experience! It has a fee of 125k but include, the entrance, local guide and water! The tour begin with a 10min walk to reach the first waterfall 5m. (3…","Breakfast was decently over my expectations as not only was I offered the buffet breakfast, but also get to choose from the menu! Very aesthetic presentation of the food, and the nasi goreng was delicious. Service from the staff was wonderful, they were polite, patient to answer all enquiries, and very sincere. The room is rather small, but it doesnt matter as the bed is soft and comfy. There were many TV channels to watch as well, wifi was very fast. Facilities were all clean and of pleasing standards. Room service was very clean and thorough as well, and I would like to commend Maria for a wonderful job with tidying our room, even leaving a pleasant surprise for us haha! Grandmas plus Legian is located nearer to Garlic lane shopping street. We didn't really enjoy the shopping…","This was the best hotel we stayed at in Bali, based on quality that exceeded the price, warm homelike atmosphere and facilities to satisfy any healing needs.  Everything is so well thought: every table at the cozy reading corner, the peaceful restaurant where you can enjoy the breeze & study in the afternoon, the beautiful yoga nest where you can stretch & unwind at sunset, BEAUTIFUL tanning place at the pool and perfectly blended colours & Balinese architecture that caress your eye, and the true, genuine hospitality! Oh and comfortable bedding. The intuitive service where you get the lights on right when you can't read anymore because of the dawn, without asking anyone. We haven't met the person who created this property, but we could feel he/she is an amazing person, the feeling you get by living there is incredible. Heartfelt Thank you to the entire team of Amnaya both who we met and who are on the backstage, a few to name: Ceri, Yulius, Ilun, Gisin, Arik, Eka, Adi<U+2764><U+FE0F>, Yande, Gilang, Wijaya, Sri, Yudi, Rigan, Agus, all the amazing public area attendants who sweep the flowers in the garden and of-course the White Pus. <U+0001F90D>    We hope to come back to that amazing heartwarming place! THANK YOU. Maria…",What a stunning resort. So new and spotlessly clean. Food was delicious. Restaurants were lovely to dine in and the food was spot on. Staff were exceptional. Very smooth check in and check out. Prompt taxi requests. Pool area was beautiful. So big and spacious. Cocktails were divine. If you get the chance to stay here do it. I'll be back. 
"Besakih Temple, rightly known as the Mother Temple, is one of the most important temples of Bali. It is revered heavily by the locals.  There is an entrance fee of Rp. 60000 per person which includes the rental of a Sarong. As in most of the Balinese temples, entry to the core…",I would say its the best place in bali I had fun there The monkeys are funny very funny 10/10 you would enjoy,Not the best beach in the world by any means but a nice place to relax and unwind.  We saw lots of surfers in the ocean and they looked to be enjoying themselves,"Bucket list experience decided that day I would fly to Bali, booked flight organized driver and tour guide 3am at base of mountain climbing.","Once we made it clear that we weren't interested in a guide or jumping in, we were offered entry of 10,000 each. We were told to get back on the scooter and drive a little way up the hill. The nice man charged us 2000 more to park the scooter. Once down at the waterfalls there…",Excellent location and only a short walk to Legian beach. Staffs were great and acceded to my requests whenever possible. Everything was splendid! Great value for money and will definitely stay again. :),"Very nice hotel, on good location, nice breakfast. Checkin was a bit problem, but the service after that was excellent. Most of the staff are very polite and always try to make the best. Breakfast was included our roomrate, its really big and fresh.  Will come back again ! ","A friend and I stayed here for 5 days after a yoga retreat in the jungle and it was really a lovely hotel.  Friendly and helpful staff, very clean, beautiful pool and the breakfast was delicious!  I would definately recommend this hotel."
"Arrived at the temple complex at 10:30 am on a Wednesday morning.  Experienced no issues/hassles with any pushy tour guides (fake or otherwise).  I spent almost two hours at the complex (there are actually MANY temples, and I explored a couple up the road in the nearby Besakih…",Great place to visit - lovely to see the monkeys being so well looked after - easy to get to - takes about 1 hour to wizz around.,Well beach was very dirty!  we were approached every minute to buy etc but stayed polite. Approached by a lady to have a lemonade and seat seemed harmless ( 3 of us) felt bad so said why not. She started cleaning sand off our feet called 2 other ladies to do my husband &…,"Me and 3 other women from my yoga and meditation programme in Lovina got picked up at 1am and our driver took us to the base to meet our guides. Our two guides were amazing, very calm, attentive and both held my hand up and down the mountain. It was a pretty hard climb,…","Aling Aling is so underrated! I found out about this place looking into other reviews and I'm so glad we came here, our tour guide who came with us hadn't even been here! Aling Aling did feel like a pretty long drive, but I think it's worth it. There are several different…","Nice place, well appointed room, very comfortable, friendly staff, airport shuttle pickup went fine, good pre-arrival communication.  Would stay here again.  Plenty of restaurants, etc. nearby.  Only downside was that nearby traffic was audible sometimes in my room #319.","I have lived in Bali for a while and visited various hotels and resorts, and Amnaya is far beyond any place that I have stayed here, or even anywhere else.  The hotel is beautfully designed, the rooms are immaculately clean, the staff are extremely courteous and helpful, the included breakfast is the best that I have ever had at a hotel, and the value for money is incredible. On top of that they upgraded our room for free. This truly is the best place I think I have ever stayed at.  It is usually not too difficult to find flaws in hotel in Bali. My partner has a keen eye for dirt and an even keener nose for damp and other smells, and this is the first place we've ever stayed that is truly flawless. I take my hat off to the staff and management here for keeping the place so beautiful and clean.  I am never motivated to write review for hotels, but Amnaya Benoa is just so good that I felt compelled to. I look forward to visiting here again!…","Nestled into the side of a clifftop, the Radisson Blu aim to deliver excellence in hospitality service & achieve in spades. From the aesthetics to catering to every whim, there is something for everyone."
