Borobudur,Prambanan,Sultan,Museum,Malioboro,Artotel,Grand,Yogyakarta
Its always better to be there early morning. Sunrise can be seen from the temple and it is an incredble sight. Since its about 2 KM walk from the entrance and has to climb 800 appx steps on to the top its always better be there early as possible. It will help to come down when?,"The temple was built in about nine century. It is area is huge. The magnificent stone temples and statues are impeccable architecture wonders of ancient time. This is out side of Yogjakarta city; a day tour by car or tourists bus is fine. The premises are well maintained, clean?",Quick visit very instructive. The palace is nice . Included the mosque very atopic interest to see .,,I did my undergrad in Yogyakarta so I am very familiar with this place and I always make time to come here every time I visit Yogyakarta,"I stayed for 3 nights with my family on January 2020. Overall, we had a very pleasant stay! The room is very clean, room design is artsy, and breakfast is varied.  Every corner of this hotel is very aesthetic. I really love the gold slide in the lobby. If you plan to stay here, I suggest you to take some pictures in front of some artsy walls.  There is also live music at M floor in 2 of the 3 nights of my stay here (Friday and Saturday night).  Not to mention, this hotel is also family friendly. I saw many people bring their child to play at the pool.  Will definitely come back here when I go to Yogyakarta again someday.","It was the first time I stayed at Grand Ambarukmo Hotel. Without doubt I choose this hotel because I think its very strategic hotel, which is near from mall, near from cullinary area. Upon arrival I was warmly welcomed by the staff at receptionist. All the staff I met is very friendly and helpful. The room I had was very spacious and well equipment with all essentials, and I have no hestitation in recommending this hotel. It really felt like home to me.  And the last I really want to say thankyou to Grace, she really smart and helpful to arrange all of my business activities while I was there.",Very nice big room with there is bluetooth JBL speaker for clock and alarn and able to connect handphone as well. Nice and bid bath room as well Highspeed free wifi works well The food variation during my 4 nights stay is quite same everyday
"The temple is incredible and well restored. Go in the morning when less people and not so hot. However; Too many guards make taking a pic with no one in it difficult, and they don?t seem to be doing anything anyway. Kids with megaphones shouting and climbing all over showing?","Honestly, it is not really worth the price (around CAD$35 if a remember correclty), except if you are attempting to get Instagramable shots. The main temple is nice, but the other smaller ones are much nicer. What made me really sad about the Temples is that people (and especially?",Nice place to visit with guide explaining history of the place. Takes at least an hour to see all sights and most of all taste good Luwak coffee. Be warned it is expensive though. ,,Very nice and tipical street with all that we need concentrated. The better is maybe to go at end of afternoon or evening. There is also mall and tipical food to have a break.,"I had a very pleasant stay at Artotel Jogja. The front desk staff (Nila, rosa & Julia) were very friendly, quick and accomodating. Every corner of the hotel is very instagramable, aesthetic and artsy. Would definitely come back <U+2665><U+FE0F>","It was a good place for us to spend weekend then start week day here.  Well fast response of staffs, we had twice experience (breakfast on the first day we got hot tea as compliment after gave our opinion on their survey & technician came as quick as they could when we called because of sink trouble).  We will be back as soon as possible <U+0001F604>","Trying for first time to experience wonderful holiday in Marriott Yogya and surprisingly turn out to be wonderful for our family there.   It was great to see how they claimed themselves as Five Star Hotel with Five Star standard from Services, Quality of Breakfast, Facilities and speed of their staffs.   Pleasure place to come back again for holiday or business. "
went for the sunrise visit.. unfortunately that day there wasnt any. but still the size and architecture was just amazing. definitely a must visit place of your jogya trip.,Nice place to see the historic constructions.  A combined ticket for Prambanan and borobudur is 630k ( only prambanan costs 350k).  Can reach using public buses from Yogya city.  the facilities at the location is good.  Visit when in Indonesia!,"Beautifull water castle, cheap ticket, easy to go, friendly and clever staffs or tour guide. Amaze me so much",,"I walked on the street many times and always met nice indonesien who wanted to speak French with me ;) at night you can listen many groups who make music from bambou instruments, sounds really peaceful ! ","The hotel is very clean and aesthetic. The service is excellent, I was served by Rosa and Jzulia, they are really friendly, polite and helpful. Definitely would stay here again if i visit yogyakarta!!","i forgot how many i spent holiday at this homy hotel. continue from my last review several months ago, once again i spend holiday right there and have a lovely night at its lounge. an arcadaz lounge, if im not wrong the name o its hotels lounge. i just drink beer and enjoy the atmosphere o the lounge, i also talk much with its kind staff name Silvia, she told me so many things bout the lounge and also askin me for what i need to drink or eat that night. the band too i like to enjoy their music although im jealous at once cause im a musician too haha. okay thats all my review o its hotels lounge name Arcadaz. you guys should try to 5th floor beside the swimmin pool to enjoy the drink and food right there. a recommended one i think <U+2764>","I had a very enjoyable and restful stay here, over a week in December. The staff were great, with the Executive Lounge staff particularly good. The breakfast was excellent. The staff throughout the hotel were (mostly) excellent ---I was a little disappointed with the hotel is inability to coordinate a business meeting for me (between not understanding how and then taking too long to try to arrange it). Apart from this, though, it was an outstanding stay. Strongly recommend."
This 9th-10th century complex is one of the oldest religious sites in the world and its surprising to see the shear size and architecture of it.  Every corner and every spot of this place is unique.  The King who made is same who made Angkor Wat in Cambodia.  The place requires?,"It was a nice temple, great sunset at Prambanan temple. Also good indonesian people that really kind to us. Nice guide that help us know the stories about Prambanan also",rustic looking water castle not that impressive. cheap entry ticket. advised to visit on wkdays to avoid crowd ,,Malioboro street is the most important place in Yogyakarta. It is full of Batik (handcrafted cloths) shops and eateries. There are tongas and rickshaw all around. You have western food options like Dunkin Donuts and Pizza Hut. The Malioboro Mall is also on the same street.  It is?,"Nice place to stay but a little bit noisy from other room. Thank is to Abi in reception for helping me about information around hotel. Internet speed is good, but need to improve for signal quality from inside room. Strategic location and artistic hotel. Thank you.","I stayed in this hotel for more than a week, and I am so satisfy with the service from all the staff, they were very helpful and friendly, the bed was very comfortable, the room was very clean, breakfast also great and this hotel is very close the mall. I would definitely stay in this hotel again when I come back to jogja. ","I am writing this review on behalf of my mom. She spent two nights in this hotel with my father and my sister is family. The hotel is modern, relatively new, with huge rooms and hollywood type of single beds. The bathroom is clean and spacious enough. But what matters most is the housekeeping and kitchen service: a prompt response and attentive. Keep up the good work, guys!"
"We booked the sunrise @Borobudur Temple via Jogjakarta Local Tours. The driver, Adit picked us up from the hotel at 3.45am. It took about an hour from Eastparc Hotel Jogja to Borobudur Temple.   It was quite packed when we reached there. Many were already there ?squatting at?",4 of us thought we could complete Borobudur and PRAMBANAN TEMPLE IN THE MORNING AND EVENING. we made it but we had to cut corners at Prambanan temple . This is unesco heritage and you really need to spend more than half a day in this Hindu temple . We entered the temple around?,"What a beautiful place, friendly and nice tour guide. The ticket a little expensive but it is not a big problem  cause you will feels satisfied what is in the inside especially the history",,"Maliboro is an icon of Yogyakarta. You could not said you had go to Indonesia, especially Yogyakarta if you were not stand on this famous street. So many something pleasant here.","First impression: This hotel could be considered a family hotel with a modern twist. The most memorable experience would be the staff and the interior of the hotel. The staff were nice, dressed fashionably casual, full of smile, and helpful. We checked in (it was a breeze) much much earlier than intended and our room were ready so we could place our luggage, cool down for a bit and continue our journey. The slide from level M to the lobby is an interesting touch, even though it is not slippery enough for you to use it like normal slide (maybe safety concern?).   Nice location: this hotel is surrounded by countless of food stalls and restaurants, you would never be starved.   The room: The room smelled a bit funny at first but it was not that unpleasant. Amenities were great, even?","I now felt regret for only staying 1 night in this beautiful hotel. The room is Lux, although the bathroom a bit small but have a good space for me as single business traveller. The bed is Best! I had a good sleep after tiring full day meeting. What i like the most is that the room has a very good lighting where i still need to work at night.  Breakfast is also surprisingly very good with good variety. I had the gudeg which is yummy, freshly made carrot tomato juice upon my order, a very yummy traditional jamu. Bakery taste good <U+0001F44D>  Happy to come back at the soonest <U+0001F60A> ","Stayed here on October on business trip. This hotel has everything for you : a very nice and beautiful room, very good breakfast, nice location beside a huge shopping mall, and most of all, a huge and so beautiful swimming pool on the roof. It is fantastic !  Hope to have a chance to stay again one day at Marriott Yogya ! Good job guys !"
"Went to visit this beautiful temple in January, it was a low season and was not overcrowded, however, there were some tourists and had to wait for awhile to get pictures without people in it. If you like architecture and temples - that is a place to go. Go with the guide as they?",Beautiful Temple!  you can see big statue inside the temple. the weather was hot. make sure you bring umbrella..,"By the time I reached the place, it was closed. So, while I cannot share a review of the interiors, let me share a review of the vicinity. Nice mosque, good paintings at various spots and a quick walk to Alun Alun.",,"Malioboro is a must on any visit to Yogyakarta. The heart of the city, this is where locals converge for being busy (shopping) and being relaxed (strolling), Tourists join the proceedings as well. Consequently, the place is vibrant and offers you a chance to buy just about?","Me and family decided to stay in Artotel for our short vacation in Yogyakarta.  Design of hotel is artistic and modern. Location in Jalan Kaliurang is strategic for those who want to go to Merapi or City Center. Breakfast is continental huge!!! A large variety of food, in local and international style. The resto is by the side of the swimming pool; moreover, our daughter Alessia has been gifted with a small bear doll by the very kind Ms. Jzulia that handled our breakfast that morning.  The checkout process is very easy as well! The staff in the reception are prompt and professional, particularly Citra, Rossa, and Reynaldi!  We are looking forward to stay there again.<U+0001F970> ","After 5 years not visiting Yogyakarta, finally we had a chance to come back here, to Yogyakarta. Because we loved to stay at different hotel, so we checked several hotels before. And finally pick this hotel. It is because the price is affordable and we can have corporate rate. Corporate rate is that they have an agreement with the company that I worked for. I stayed with my husband and 2 teenagers. The room is big enough for 4 of us. And we choose the floor with the same floor as the swimming pool that is at the 5th floor. Actually, our first choice is at Royal Ambarrukmo, but unfortunately, we do not get the room that we choose. So, because Grand Ambarrukmo is also with the same management, and also across the Plasa Ambarrukmo, we decided to stay here. It is really comfy and the?","It?s a beautiful and big hotel in Yogyakarta. This hotel is next to a shopping mall so it?s very convenient if someone is looking for places to eat with food court and nice restaurants. Check in was fast. The hotel is very nice and beautiful. If you have a Marriott status beyond Gold you can eat breakfast at the M lounge or/and at the restaurant. There?s not much of choices at the lounge but the restaurant has many choices. Food at the restaurant:The broth for the noodles soup wasn?t consistent one day was great other day was so bland. Some servers don?t understand English well and one out of 4 days I was there, I had to wait almost 30 minutes for my tea after repeatedly asking for my tea several time The M lounge doesn?t have much choices for either food or desserts and they?"
"One of Indonesian famous Temple compound, build in three tiers: a pyramidal base with five concentric square terraces, the trunk of a cone with three circular platforms and a monumental stupa at the top.  My previous visits was decades ago, and at this moment I?m bringing my son?","The temple Prambanan is beautiful and definitely worth a visit, even thought it?s very pricy and for us it was not as impressive as Borobudur. The parc surrounding the temple also doesn?t have as much to offer as the Borobudur parc.   I would give the temple 4 stars if it wasn?t?","Do not come in the weekend, bunch of teenages so loud and they made picture in every step, and other tourist didnt seem want to give you time even 1 second to make picture, seemed they also wanted to part of your memorable pictures.. but somehow I managed to get a pic without?",,"The distinctive road and well know icon in Yogyakarta. This road and its surrounding are centre of tourist attractions. Very popular and crowded during holiday seasons. Close to Yogyakarta train station, it also is surrounded by lots of hotels, sidewalk shops and restaurants.?","**Honest Review  This hotel is an artistic hotel. With a good strategic location. The room was good. The facilty was nice and the staffs so humble.  One of reccomended hotel in Jogja. I felt amaze with the colorful and artistic painting in every walls. The room was clean, the facilty was complete. They serve coffee maker in every rooms. But The minus of the room is the size of the bathroom. Bathroom was too small. But It is ok because We spend not more than 30 minutes in bathroom.   Breakfast menu so many option to be choosen. Various meals and drink, And yes they serve you soft drink. Different menu for everyday. This hotel also provide hand made lamin in certain day. There is also available healthy drink and herbs.   The staffs are so humble, full of smile and ready to assist u.?","I just stayed for a day on this hotel. The located about 10min from airport and across from Ambarrukmo Mall Plaza.  They have many choicess for breakfast and delicious dish. I have been at Arcadaz Bar at 5th floor. They was live music and DJ Also, Big thank is to Eny, for the hospitality, friendly and warmth service, It was very pleasure for me and my familly. Thank you for effort to show me the nice atraction for making nice cocktails at the pool. Over all has very recommendation  for stay.",The hotel is very nice and new. Big room and bed and they also have big sofa in the room. Very good for family visit. Behind big mall (Hartono Mall). Good swimming pool. Very rcommended to stay here when visit Jogja.
"huge Hindus temple, amazing...I like it,1 hour from Yogyakarta by car.if you want to go there better in the morning or afternoon around 3 pm when you reach Borobudur temple around 11-2 pm, the weather is hot enough or will be better if you bring an umbrella",Came to Prambanan after going for the borobudur sunrise and mendut temple visit. The tickets are pricey but well worth the price since they are putting in a lot of money and effort in rebuilding the temples. Many of the smaller temples have been destroyed by earthquakes but the?,"Great when you get there, but can be hard to find on foot. Best to find a guide to show you round as it?s not obvious where everything is. One found us at the gate and was very informative. He seemed happy with his 50000 rupiah tip after an hour and a half showing us round but?",,"Not for the faint hearted, Malioboro Road is the seething heart of Yogyakarta. This is where Indonesians go on mass to stroll, eat and shop. It appears to be busy all of the time, the later it gets the busier it gets. Hundreds of shops and stalls selling all sorts of things?","It took only 30min from the airport. Great warm greetings from the bellboy and receptionist. Helpful as well. The room was great, clean, spacey. One thing that something wrong with the tv channel on our last day. Just an input because some people need tv more than I do, who only turn on the tv to accompany me while I?m sleeping. lol Breakfast was also great. Reasonable price for the food. Many places in the lobby area, the room floor and in the room are instagramable.  Oh you have friendly staff. Greetings to the guests wherever they met. Cool!",This hotel is very pleasant and a very nice place to stay. Ratio quality price is very high. Sunny this is very helpful and can give you a lot of hints about Yogya. Hotel food is very delicious. Hotel cosmetics are of high quality. We recommended this place.,Stayed with two kids for 4 nights. Enjoyed every bit of my stay from Checkin to check out. The staff are very courteous and cordial. The breakfast was excellent.  Rooms are spacious and clean. Both restaurants are great. Especially liked the pizza and other menu of Taman Sari. Pool is big and clean. Spa was also very nice. All in all a excellent stay....
Only two stars. Should have been one. The temple is worth seeing but like in many tourist places in Indonesia it is a total rip off! Segregation on entry between locals and tourists. It is ok to charge tourists slightly more but to charge 6 times more than local is just?,"We come in the morning so have enough time to explore the temple. This place more nice that Borobudur since a lot of trees around, public transport with rent available in a strategic spot and they also have the playground. But the toilet was poor, stinky and dirty.","We hired a private guide for a walking tour of the historic part of the city for the day, which proved great value for money (although quite draining as it was 34c). Stop No 2 was the Water Castle which for me was the tour highlight. There is quite a lurid history to this place,?",,Too busy. But you have to see it. Crazy nightlife just out of control. Basically it is a huge market where you can find absolutely everything.,"Hotelnya artsy, the staffs were all great. During checked in, di handle sama mas mas ga recognized namanya but he is awesome. While staying house keeping juga need to be appreciated. Checked out handled by FDA named Citra. She is smart and friendly.  Will back again here someday.","the room is clean, the staff helpful, the food wastern and traditional food available. thanks to Ms.Sanni the hotel staff, the location near to airport, not too far from city center, shopping mall in front of the hotel. i will probably stat at this hotel.","Good: + Platinum member upgrade to suite with pool view + Breakfast Buffet + M Lounge, all food, drinks and staff were great. I mean staff I barely interacted with addressed me by name (!) amazing. + Calling the nurse when I got sick and helping me get some food.  I really want to give 5 stars, but some areas need to highlight. Bad:  - Dirty bath towel, this was raised with housekeeping and staff has genuinely apologised - which I appreciate. I feel this was a one-off and not the norm. - Almost need to fight for published benefits. I booked a rate that gave up to 15% F+B credit per night, at first I suspected a mis-communication for the refusal. Only after firmly, but politely showing the T+C on the Marriott website did they accept.  - Bonus points still not posted to my account?"
Mystic and beautiful temples. A mixture of Buddhist and Hindu styles. Do the sunrise tour and hope there is no fog!!,Javanese people were very friendly and helpful.  This is a clean place and they are maintaining it very well.  Worth the trip,"Better to get a guide as some areas are not openly visible to tour, esp the mosque. Interesting history to the place with sultans and earthquakes, river that disappeared, passages below water level. The place was a bit small though.",,"I stayed five for 5 days in Yogyakarta, and went to Malioboro Street every night because my hotel was 10 minutes walking distance away. Every time I went, usually in the evening, it had a different vibe. It is a long road, bustling with people and lined with lots of stalls, and?","Read the great review and book 6 nights wih them. We requested the non smoking room even when the front office asked the same question we said the same while showing we bring infant. But when we arrived in the 9th floor we greeted by floor full of smoke and when we entered the room it was definitely smoking room. We called the front office directly and turned out they forgot to inform us, really? We asked them to change the room, the staff helped but with a lot of confusion. Definitely not the hotel you choose if you go with family!","I have stayed twice at this hotel.  This hotel is located in front of Plaza Ambarrukmo mall, close to airport and not far from Tugu railway station.  Hotel staff are very friendly and helpful. I stayed at a Grand Deluxe room by the generosity of Mr. Didin. Comfortable and spacious enough. Wifi worked well.  Breakfast : Various kind of Indonesian food : soto, fried rice, fried noodle, boiled peanut, sweet potatoes, traditional snacks.  Croissant, danish pastry, donuts were ok.  Etc","I would highly recommending this hotel as excellent services provided by the team right from check in to M Club staff, the staff that particular to mention, Sofien in the M Club and Ridwan, duty manager as well as the front desk team, Carolina and Aya. Thx for looking after me during my stay in this excellent hotel."
Majestic structure. It was bigger than I have expected. We took 2 hours just to walk around the varioius levels of the main structure. We did not have time to fully explore the surrounding musems and area.  ,This is the first time I revisit Prambanan temple since 1990s. It is an amazing and grandeur place to visit. What impress me is the fact that those temples are built without using modern technology is an engineering marvel of bygone era. I also like the fact that the temple?,"It is very close from my home, only 5 minutes by scooter. This place so affordable, cause not so many things to be done here. Located in the city center, you could get here by walking from malioboro.",,This is probably the most busiest road in Yogyakarta day and night. Every tourist is here.... it is like you have not been to Yogyakarta if you did not visit Malioboro Road Shopping. It is a long street that eventually leads you to the Royal Palace. The street comes alive at night as?,"Had a very pleasant stay for 3 nights stay. The interior design this hotel was very artsy and made me feel like I am home. The first thing that catches my eyes when I entered the hotel was the slide in the lobby area and guests were allowed to slide. The room also has an artsy design and neat, the bed was comfortable enough so I had a good sleep quality. The breakfast was tasty and if you are looking for the culinary experience then this hotel is a perfect place to stay because it is located in Jalan Kaliurang where there were lots of restaurants or food stalls.","Just stayed for 10 days at Grand Ambarrukmo in Jogjakarta. This hotel is located conveniently across from Ambarukkmo Mall, the main shopping plaza in Jogja. Rooms are clean and well equipped. Breakfast is delicious and caters for both Indonesian and Western people.  Like many good hotels, Grand Ambarrukmo has quality staff in every department. These people make you feel extremely welcome. Cannot speak highly enough of their hospitality and warmth. Thank you so much to Eny, Sylvia, Adit, Dony and Alvin (also known as) Blackie.  These guys are in the Lounge area on the 5th floor which has Live Bands ( quality) on Saturday nights and Karaoke if you fancy yourself as an entertainer on Fridays.  All in all a great place to base yourself for everything Jogja has to offer.  I?","Stayed for 3 nights. Loves the spacious room and comfortable bed. View was nice with a bit of city view and mountains at the back.  We particularly enjoyed the pool very much. 4 pools for different age group hence I have uninterrupted laps at adult pool. Jucuzz jet is av at all 3 pools just nice to relieve back, leg and calfs muscleache.  Breakfast was yummy, I  particularly love the jamu and the Waffle and French toast. Must try."
"Borobudur, Boro means Temple and Budur means Hill. One of the most, if not the most iconic Buddhist temple in the universe. It is one of the 7 wonders. It really is a wonder. The priciseness of its architecture is mindblowing, so much detail. The stories, the history, the?","The minute you reach to the front of the temple, is so grand and it was wow factor. Need to take your time to explore each monument and walk around each platform. Is very small area, tight on each temple. The temple itself hold Shiva which lack of light to see clearly, (should?","Went there few times and always discover new spots. pay extra for your camera. the best spot is quite hidden. so not only the water ponds, explore further more to the previous underground mosque ... somehow its always busy with instaphoto hunters ",,Today I spent afew hours walking up and down this street. It is a must visit place when in Yogyakarta. Plenty of shops and food and cheap coffee stalls. What more can you ask for.,"I booked 3 rooms with my friend and every single thing is just awesome. Located in the center, so you can go anywhere easily.  Art everywhere.  Staffs are amazing! From the reservation process to check out are flawless.  Receptionists, security, FB team, and housekeeping showed a high level of hospitality.","For 650k at weekend and include breakfast, this acomodation is worth to try, location at the opposite of plaza ambarukmo, is help to find many food taste and everything you needed, have a free shuttle bus to plaza, front desk is fast service, kingkoil bed, minibar, good rain shower and ecoflush toto is a high quality amenities ,, good lighting room inside, for pool is small but clean at 5 floor, breakfast is internasional std for 4* level, to come this hotel, you must ride by grab or taxi from airport or Tugu train station, grab about 40k, overall this hotel is 8/10 value <U+0001F600><U+0001F44D><U+0001F3FC>","As a Bonvoy Titanium member, I booked 2 rooms for family vacations in Yogyakarta. Using Suite Award, one of the room was upgraded with a connecting room. The rooms are fantastic. I guess partly the hotel overall is fairly new.  Why I am giving this only a 3 star is because of couple of things :  1) The M Lounge - I do not think it lives up to Marriott Lounge Standard. This looks like Courtyard by Marriott at MOST. I have enjoyed a better service of Courtyard By Marriott in India - Yes, India, Not Indonesia.  2) Some of the staff, does not behaves like serving guests in 5* Marriott. Sorry to say, this is not even hitting the basic of 5*. This is especially at the back office. Ther are fairly arrogant to spell out the ground rules - Is that how they treat someone who gives 100?"
Amazing Temple. 4th Trip here but the first time doing the sunset tour. It was excellent and a free breakfast included. Try to get a day that isnt very cloudy to see the perfect sunrise from one amazing temple.,The temple complex is confusing without a quide.  All temples have main deities in them.  Reminds you of other areas in Southeast Asia and India.,"I arrived here on weekdays morning (not a holiday), so it is not very crowded. There are some cool places to take a picture on. But I did not, haha. There are brochures in English too. Do not worry.",,"Came here many times. This is a walking street about 1 km long with many batik, souvenirs and food hawkers (lecehan). Hawker food here are the most expensive in the whole of Yogyakarta. You pay only half the price at outskirt of this street. But souvenirs and clothing are cheap?","I stayed there for 3 nights. The athmosphere was very unique & suiteable for teenager. The room was great and clean. The location is strategic , near from everywhere. Check in process was simple and great (thank you to the person who handle us, she is friendly). Breakfast was excellent, lot of choices and tasty. All staff was helpful and friendly also security was great. They always help us to valet our car. All front desk staff was excellent. Special thanks to : Rey, Adi, Yudha. Definitely will come back to Artotel Yogya if we go to Yogya next time. Thank you very much for your kindness, keep it up <U+0001F60A>","Very modern and spacious room. Room service has a good selection of food and beverages. Restaurant provides a buffet breakfast with loads of choices as well as lunch and dinner. Relaxing outdoor pool on the 5th floor with service staff. All the staff were great and extremely helpful with any request. The Ambarrukmo Mall is directly over the road providing shopping and food court. Local eateries are only a very short walk if you want to sample what the locals eat. Hard to beat for the quality, price and location.",Great hotel n great services large swimming pool n good food. Breakfast was awesome! So many variaties.  Swimming pool also good. They have kids pool and adult pool. Fitness room was nice. The club lounge was ok with free drinks. But the food and snack was until 8.00 pm only (I think this should be reconsidered by the management). Location was good... just beside the hartono mall (the biggest mall in jogja). Staffs were friendly and helpful.
"There is no doubt that Borobadur is a magnificent temple and it is well worth a visit. The site has been beautifully restored and the upper levels, in particular, are inspirational with their many Buddha statues and stupas.  The light is best for photographs at sunrise and?","I will not review the temple per se as many before me did that. But I would like to comment on the price and the official tourist guide for the temple. 1) Price: 25 USD (which is more expensive than Taj Mahal, but not even close to the grandness of Taj Mahal). We bought a combo?","It is alright, you can take some decent photos. Entrance fee of 15000 rupiah per person is maybe a bit exaggerated, but not a big deal. Inside, theres not much to see besides a few pools. The interior of the buildings is not really worth it. Just concrete and it looks all the?",,"In the morning, the street is hot and traffic is jamp. At night, road show, entertainment, food stall are starting. It is crowded and fun. So, stay nearby here to enjoy yr night!","Very homey and cute hotel to stay. I had a very nice and pleasant stay during my two days business trips. My seminar located at Hyatt Hotel Yogyakarta, but I chose to stay here since this place gave more homey feeling. Located at very strategic road, near Gajah Mada University with its lively and happening activities, this hotel really gives you  pleasant feeling, surrounded by many restaurants and food stalls.","I had stayed in this hotel some time ago. Now, I am coming back to here. Nice hotel. Good food, good ambience and very helpful staff, especially mbak Chandra. Thank you for serving the nice cup of cappuccino<U+0001F60A>.","Wow, Western hotels in Asian countries are very true at being nice lodging options for a relatively cheaper price than what you would pay in the States. As this was probably one of the nicest Marriott hotels I?ve ever stayed at, I had a very nice and pleasant experience and would recommend guests to consider this hotel for your lodging option in Yogyakarta.  The hotel is located northwest of the airport less than 4 miles, took maybe 20 minutes by car. The hotel is in a very good location, adjacent to the Hartono Mall which I think is one of the bigger shopping malls in Yogyakarta.   Hotel staff were all very friendly and quick to smile and help. What I like about hotels here in Asia is that they acknowledge you for being a Marriott elite member. Even being Silver back in the?"
"Borobudur is a big temple. It has lots of stairs to cover in one day. Take your tour early in the morning to avoid crowd and hot sun. Prepare for sunscreen, sun glasses, hats and umbrella to prevent sunburn. Bring plenty of water for hydration. Do not stop for souvenirs unless?","Prambanan temple complex was badly demolished in a major earthquake for about ten years ago. The main temples are raised and beautifully restored, while a vast amount of buildings still lie in heap of stones.  Nevertheless, this place has power to it. The Prambanan temple?","We love visiting this place , it?s beautiful and full with history , the enterance fee is 0.5 cent for domestic and 1$ for foreigner .  And u can take guide and paid as you please ( they don?t put the price tag ) but they happy to lead u and explain to u the story in each?",,Sometimes you habe to stop your wife from.buying the whole market. In other words there are many bargains. I can certainly recommend this street for browsing around. One remark.it is crowded.,"Artsy hotel that has unique lobby and interior design. They put javanese touch in furnitures. Bedroom and bathroom ware very homey and clean, not too small not to spacious. Lighting was good and proper. You do not need to worry of craving food because the hotel located in Jalan Kaliurang, one of main road in Jogja with so many restaurant / food stall. But the hotel also provides nice breakfast. Absolutely will come back again.","Very good service with quick response,, especially when breakfast time, coz  all waitress always stay to helpfully with brings you all recommended menu like jamu as herb drink traditional from Java Island..Thank you Mrs. Intan Anggraini, we always can not forget with your friendly services.","The room was spacious, beautiful, and clean. What I like the most was the bed.. they were big enough to fit 1 child and 1 adult. We booked for twin room and the bed size was 160x200m per bed!  Breakfast was awesome! So many variaties.  Swimming pool also good. They have kids pool and adult pool. Fitness room was nice. The club lounge was ok with free drinks. But the food and snack was until 8.00 pm only (I think this should be reconsidered by the management). Location was good... just beside the hartono mall (the biggest mall in jogja). Staffs were friendly and helpful.  Cons: no sauna and steam room.  "
Majestic. The place is now clean and well managed. We are not allowed to bring food but only water. <U+0001F44D>,"Prambanan Temple in Yogyakarta was claimed to be erected in 850 AD. Comprising the remains of some 244 temples, World Heritage?listed Prambanan is Indonesia is largest Hindu site and one of Southeast Asia is major attractions.   Main highlight is the central compound with eight?",This is a really nice palace to walk around and observe. Attended on a day where VIP?s were attending believed to be Malaysian PM so higher security than normal. Great way to while away an hour or so and some very scenic spots for photos - well worth seeing.,,A walk along Jalan Marlioboro is always an essential when visiting Yogyakarta. I was tempted not to go this time as it was a short visit but was very pleased I did because the bustle of this main street is irresistible. The surprise was the changes that have been made since I?,"I stay here for 2 night.. requested for king size bed, but they gave me twin bed. Can not sleep cause u can hear very clearly what people discussed beside ur room. You can hear loud sound when you turn on the water or other room turn on the water. Never ever will stay in this hotel. Totally dissapointed. ","Honestly, this hotel was great in cleanness, well maintained, friendly staffs, many varieties of foods on breakfast. I could not ask for more.  The interior of the hotel is modern and i love to have rain shower in bathroom and all amenities was provided by the hotel. When i requested to have good view room, they were able to accommodate it easily without any hassle.  The only dislike maybe the traffic surrounding the hotel was quite bad but they provided security to help you enter the road.  Certainly, i will consider this hotel in future to spend a day or so. Well done Grand Ambarrukmo","I have been coming to the Mariott in Jogja for almost 2 years. The rooms are big, the breakfast buffet is excellent and most importantly, the service. At M lounge, Sofie, Dicie, Iin and their colleagues have amazing service. I come here every 2-3 mths and the Mariott is the only place we choose to stay at. Thanks so much everyone. "
"I have always heard about how grand the the Borobudur Buddha temple is and it is better than I imagined. It was a huge temple with so many stupas and Buddha statues, a four sided identical arrangement. It involves a bit of climbing and walking. But, what a great sight, it was.?",Prambanan temple is best suited to visit around sunset. The temple complex is huge but you can visit three main temples.  The temple is around thousand years old and a part of our restored recently. It is very different than Bali temples.  Entry fee is very high (350k IDR) for?,Well if you have time to kill it can be an option otherwise not worth the stop   There is a lot of person visiting. Not easy access with baby trolley,,Malioboro is very crowdedwith tourists come...many choice to shopping merchandise and special  gift from jogja,Had a very pleasant stay for our company outing. Mba Nungky was really helpful and attentive to our requests. The hotel itself is very artsy and close to famous restaurants and cafes. Would love to come here again on my next visit to Jogja ,"the service is good, all the food literally taste awesome, the local even the western. looking forward to visit again in the next travel with family or maybe with friends. thankyou grand ambarukmo hotel @indahpuspitasari","Im stay here for a night, and this is a perfect hotel Bcoz i book the room with M Club which is we can try all u can drink coctail with perfect sidedish. Last but not least, Sofie help us to stay here, she so kind give us late check out for the next day. Overall PERFECT hotel"
